Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Cameron Krutwig,33,29,790,25.2,0.632,0.602,0,0.451,361,11.7,20.9,16.8,14.8,1.3,3.6,13.8,22.3,,2.7,1.9,4.6,0.231,,3.1,3.9,7
2,Clayton Custer,28,28,907,20.1,0.641,0.62,0.443,0.252,379,1.1,7.1,4.4,25.9,2.9,0.3,16.7,21.5,,2.5,1.8,4.3,0.188,,4.7,0.9,5.6
3,Donte Ingram,33,33,1014,17.5,0.581,0.564,0.566,0.236,348,2.5,22.1,13.4,9.6,2,1.3,12.5,20.6,,1.6,2.5,4,0.158,,1.8,2.6,4.3
4,Marques Townes,33,33,920,17.6,0.594,0.569,0.248,0.319,361,3.2,13.5,8.9,16.8,2,0.9,17.3,22.6,,1.6,1.9,3.5,0.152,,1.1,2.1,3.2
5,Aundre Jackson,33,14,631,22.4,0.628,0.614,0.2,0.255,314,6.8,14.7,11.2,12.7,1.5,1.6,15.6,29.7,,1.5,1.3,2.8,0.179,,2,0.5,2.5
6,Ben Richardson,23,23,701,12.8,0.595,0.58,0.69,0.292,179,0.6,10.1,5.9,20.9,2.6,1.5,22.8,13.2,,0.9,1.5,2.4,0.134,,1.7,3,4.8
7,Lucas Williamson,33,5,651,12.1,0.621,0.587,0.673,0.452,153,2,10,6.4,8.6,2.7,1.6,16.5,12.9,,0.9,1.4,2.3,0.14,,1.8,3.1,4.9
8,Bruno Skokna,33,0,410,12.8,0.633,0.584,0.597,0.377,110,2.1,6.7,4.6,9,2.1,0.6,15.8,14.6,,0.7,0.7,1.4,0.138,,1.6,0.9,2.5
9,Cameron Satterwhite,31,0,347,4.9,0.446,0.37,0.352,0.519,75,1.6,16.5,9.9,14.7,0.3,1,29.4,15.2,,-0.3,0.6,0.4,0.045,,-5.3,1.5,-3.8
10,Adarius Avery,12,0,94,16,0.527,0.481,0.037,0.556,38,12.1,18.3,15.5,8.2,0.6,2.4,17,24.2,,0.1,0.2,0.3,0.131,,-3.2,0.4,-2.8
11,Jake Baughman,8,0,18,13.4,1.282,1.5,1,2,3,0,0,0,0,3.4,0,33.9,9.1,,0,0,0.1,0.154,,5.6,0.6,6.2
12,Carson Shanks,11,0,29,11.7,0.559,0.5,0.125,0.25,9,0,15.8,8.8,6.6,0,3.9,10.1,19,,0,0.1,0.1,0.125,,-3.8,0.7,-3.1
13,Dylan Boehm,5,0,7,2.6,0,0,0,0,1,0,0,0,43.4,0,0,0,7.9,,0,0,0,0.053,,-9.5,-9.7,-19.2
14,Nick DiNardi,7,0,11,-2,0.2,0.2,0,0,3,25.9,20.8,23.1,0,0,0,16.7,30.2,,-0.1,0,0,-0.123,,-18,-8.6,-26.6
15,Christian Negron,15,0,70,3.2,0.394,0.357,0,1.143,18,6.1,14.7,10.9,4.9,0.9,1.6,18.8,21,,-0.1,0.1,0,0.023,,-8.6,0.2,-8.4
