Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,George Beamon,30,30,926,23.4,0.548,0.471,0.343,0.499,502,5.8,17.3,11.6,5.8,2.9,1.1,9.6,29.8,,2.7,1.9,4.6,0.198,,2.2,-0.6,1.6
2,Rhamel Brown,33,33,788,23.8,0.549,0.552,0,0.638,325,12.8,14.5,13.7,6.2,1.6,15.7,13.5,21.5,,1.5,1.8,3.3,0.168,,-0.4,8.8,8.4
3,Michael Alvarado,32,32,804,19.3,0.534,0.475,0.172,0.778,402,2.2,10,6.1,33.8,3,0.5,17.5,26.1,,1.6,1.4,3,0.151,,1.9,0.5,2.4
4,Emmy Andujar,33,5,770,18.5,0.579,0.541,0.057,0.567,309,9.5,15.8,12.7,20,2.9,1.7,22.4,19.9,,1.3,1.6,2.9,0.149,,1.5,3.5,5
5,Shane Richards,33,4,716,14.4,0.621,0.603,0.901,0.192,229,1.7,7.1,4.4,6.5,1.7,0.4,7.5,16.2,,1.7,1,2.7,0.152,,4.6,-1.1,3.5
6,RaShawn Stores,33,25,740,9.9,0.533,0.492,0.662,0.316,177,2.6,7.4,5,15.8,2.8,0.1,17.7,12.2,,0.8,1.2,2,0.107,,1.1,1.1,2.2
7,Ashton Pankey,33,21,585,15.8,0.567,0.577,0,0.965,218,9.4,17.7,13.6,2.5,0.8,6.2,18.2,20.9,,0.6,1.1,1.8,0.121,,-3,1.6,-1.4
8,Rich Williams,31,7,370,12.6,0.596,0.582,0.316,0.347,128,7.9,12.5,10.2,8,1.5,1.7,24.5,19.8,,0.3,0.6,0.9,0.095,,-0.9,0.4,-0.5
9,Tyler Wilson,33,4,411,6.7,0.449,0.391,0.036,0.836,90,1.6,7.8,4.7,22.1,4.3,0.3,31.9,13.3,,-0.2,0.8,0.6,0.059,,-3.9,2.3,-1.6
10,Donovan Kates,33,0,462,3.9,0.437,0.338,0.662,0.507,84,3.4,8.6,6,7.2,1.5,0.2,26.6,12.6,,-0.3,0.6,0.4,0.032,,-3.3,0.4,-2.8
11,Carlton Allen,26,0,83,-1.2,0.298,0.143,0,1.429,9,5.4,6.6,6,0,0.7,7.5,25.4,9.2,,-0.1,0.1,0,0.012,,-7.7,3,-4.7
12,Trevor Glassman,4,0,3,-47.2,0,0,0.667,0,0,0,0,0,0,0,0,0,48.4,,0,0,0,-0.595,,-31,-14.6,-45.6
13,CJ Jones,8,5,89,1.5,0.294,0.238,0.571,0.286,19,3.8,7.4,5.6,17.8,1.3,0,20.1,16.2,,-0.1,0.1,0,-0.004,,-5,-1.1,-6.1
14,Adam Lacey,4,0,2,8.7,,,,,0,0,55,27.7,0,0,0,,0,,0,0,0,0.123,,-10.4,-1.3,-11.7
