Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Justin Lewis,31,31,1004,20.5,0.549,0.516,0.371,0.273,481,4,21.6,13.4,11.1,1.9,1.9,11.2,27.5,,1.9,1.8,3.7,0.148,,4.1,1.5,5.6
2,Kur Kuath,31,31,594,20.8,0.703,0.718,0,0.264,160,6.7,15,11.1,6,1.3,12.9,13.9,12.3,,1.3,1.2,2.5,0.165,,2.2,5.6,7.8
3,Oso Ighodaro,31,0,565,18.3,0.71,0.7,0,0.4,168,7.3,12.5,10.1,9.1,1.7,5,15.6,12.7,,1.4,0.9,2.3,0.163,,2.3,3.2,5.5
4,Darryl Morsell,30,30,896,15.6,0.552,0.514,0.376,0.286,382,2,10.3,6.4,16.5,2.3,1.5,17,25,,1.1,1.2,2.3,0.102,,1.6,1.7,3.3
5,Olivier-Maxence Prosper,31,24,637,12.8,0.548,0.5,0.335,0.323,189,3.5,13.5,8.8,8.2,2.4,0.6,13.5,16.5,,0.8,1,1.7,0.108,,-0.3,2.2,1.9
6,Greg Elliott,27,1,459,17.5,0.575,0.514,0.596,0.363,187,1.8,10.7,6.6,14.9,2.7,0.4,12.3,21.6,,1,0.7,1.6,0.144,,3.8,2.2,6
7,Kameron Jones,30,7,563,14.4,0.566,0.563,0.728,0.094,200,1.7,6.5,4.3,12.2,2.3,0.5,10.7,20.2,,0.8,0.7,1.5,0.106,,3,1.4,4.4
8,Tyler Kolek,31,31,913,11,0.44,0.402,0.564,0.191,296,1.9,11.4,7,33,2.7,0.2,25.2,17.8,,0.2,1.3,1.5,0.068,,-0.5,1.7,1.2
9,Stevie Mitchell,31,0,318,12,0.513,0.5,0.29,0.362,91,3.3,10.9,7.4,16,3.7,1,19,15.9,,0.2,0.5,0.8,0.096,,-2.1,3.9,1.7
10,Emarion Ellis,13,0,80,10.8,0.604,0.633,0.533,1.267,30,5.9,9,7.5,12.9,1.4,0,27.3,21,,0.1,0.1,0.2,0.079,,-0.7,0.5,-0.2
11,David Joplin,31,0,209,10.9,0.487,0.482,0.69,0.107,75,3.4,8.8,6.3,5.6,0.8,3.9,12,24.4,,0,0.2,0.2,0.044,,0.6,0.1,0.7
12,Brendan Carney,3,0,3,-5.5,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.018,,-10.1,1,-9.1
13,Michael Kennedy,3,0,4,3.9,,,,,0,0,25.6,13.7,0,0,0,,0,,0,0,0,0.06,,-1,0.7,-0.3
14,Cameron Brown,3,0,5,-29.6,0,0,0.5,0,0,0,20.5,10.9,0,0,0,33.3,30.5,,-0.1,0,-0.1,-0.442,,-30.8,-9.7,-40.5
