Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Kameron Jones,G,33,33,1110,24.8,0.552,0.376,0.16,653.0,1.9,13.8,7.6,38.5,2.4,0.9,9.3,29.1,3.9,1.8,5.7,0.207,7.5,3.4,10.9,
2.0,David Joplin,F,33,33,1047,16.3,0.537,0.565,0.23,421.0,4.8,15.5,9.9,7.6,2.0,3.5,12.8,23.5,1.4,1.8,3.2,0.124,2.7,2.1,4.8,
3.0,Chase Ross,G,33,33,993,17.9,0.59,0.412,0.465,351.0,4.0,11.1,7.4,12.3,3.5,2.6,13.6,17.7,2.0,1.9,3.9,0.157,3.1,4.4,7.5,
4.0,Stevie Mitchell,G,33,33,897,21.0,0.573,0.303,0.398,357.0,7.0,10.4,8.7,10.3,5.0,0.5,8.2,19.3,2.4,1.9,4.3,0.19,3.8,5.4,9.2,
5.0,Ben Gold,F,33,33,837,13.3,0.589,0.714,0.175,232.0,5.6,13.9,9.5,5.9,0.9,3.8,11.7,14.0,1.4,1.2,2.6,0.125,2.1,2.0,4.1,
6.0,Royce Parham,F,33,0,485,14.9,0.506,0.576,0.158,165.0,8.0,9.9,8.9,4.4,2.4,3.2,7.1,19.1,0.7,0.8,1.5,0.124,1.8,1.9,3.7,
7.0,Zaide Lowery,F,30,0,474,13.4,0.582,0.556,0.141,113.0,5.1,17.4,11.0,2.5,2.5,0.5,8.6,12.4,0.7,0.9,1.5,0.13,1.9,2.7,4.6,
8.0,Tre Norman,G,33,0,301,6.7,0.413,0.5,0.406,71.0,5.1,14.3,9.5,8.6,2.1,1.2,18.2,15.7,-0.1,0.5,0.4,0.047,-3.9,2.0,-1.9,
9.0,Damarius Owens,F,29,0,284,9.8,0.497,0.449,0.319,83.0,5.1,9.3,7.1,8.7,2.1,2.1,18.5,17.4,0.1,0.4,0.5,0.077,-1.2,2.0,0.7,
10.0,Caedin Hamilton,F,28,0,183,10.7,0.415,0.159,0.432,59.0,11.5,11.1,11.3,15.5,1.3,4.6,18.5,18.0,0.0,0.3,0.3,0.071,-3.3,1.5,-1.8,
11.0,Jack Anderson,G,5,0,10,-6.0,0.167,0.167,0.0,2.0,11.1,12.0,11.5,0.0,0.0,0.0,0.0,30.4,-0.1,0.0,0.0,-0.167,-17.4,-10.1,-27.5,
12.0,Cameron Brown,G,5,0,7,17.2,1.053,,,2.0,0.0,17.1,8.2,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.227,-0.2,2.3,2.1,
13.0,Casey O'Malley,G,5,0,7,6.7,0.517,0.0,4.0,3.0,0.0,17.1,8.2,0.0,8.4,0.0,40.8,35.5,0.0,0.0,0.0,-0.063,-12.7,1.9,-10.8,
14.0,Jake Ciardo,G,5,0,7,10.0,0.25,0.75,0.0,3.0,31.6,34.2,32.8,0.0,0.0,0.0,0.0,28.9,0.0,0.0,0.0,0.032,-8.2,-4.8,-13.1,
15.0,Jonah Lucas,G,5,0,7,-3.8,0.0,0.5,0.0,0.0,0.0,17.1,8.2,0.0,8.4,0.0,0.0,14.5,0.0,0.0,0.0,-0.079,-16.7,5.7,-11.0,
,Team Totals,,33,33,6649,,0.547,0.463,0.261,,,,,,,,,,12.5,11.6,24.0,0.145,2.8,3.1,5.9,
