Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jon Elmore,34,33,1303,23.7,0.592,0.526,0.49,0.495,816,1.3,14.3,8.2,33.1,2.1,0.9,15.6,28.2,,4.3,1.8,6.1,0.187,,5,-0.1,4.9
2,Ajdin Penava,32,32,938,27.5,0.634,0.601,0.289,0.457,476,7.6,22.2,15.3,12,1.8,11.6,13.5,22.9,,2.8,2.1,4.9,0.211,,2.1,6.5,8.6
3,C.J. Burks,33,32,1186,17.9,0.595,0.563,0.437,0.198,615,1.6,9.9,6,16.9,1.4,0.3,15.5,26.9,,2.2,1.3,3.4,0.116,,1.6,-2.1,-0.5
4,Jarrod West,34,33,1098,11.2,0.61,0.6,0.731,0.204,280,1.1,7,4.3,14.4,2.5,0.2,18.2,11.6,,1.3,1.3,2.6,0.094,,1.1,0.2,1.3
5,Jannson Williams,33,7,544,14.6,0.604,0.575,0.52,0.323,164,6,14.6,10.6,2.1,1.5,4.3,11.5,14.4,,0.8,0.8,1.7,0.123,,-0.7,0.4,-0.3
6,Rondale Watson,23,2,613,11.7,0.539,0.522,0.395,0.223,188,5.1,9.7,7.6,8.4,2,1,14.3,15.7,,0.6,0.7,1.3,0.086,,-0.9,0.2,-0.7
7,Darius George,26,1,373,13.7,0.555,0.572,0.444,0.422,117,7.8,15.7,12,3.6,2.5,2.3,14.3,16,,0.4,0.6,1,0.107,,-1.4,0.4,-1
8,Phil Bledsoe,18,0,135,12.3,0.511,0.49,0.333,0.118,54,10.8,13.9,12.5,2.7,0.4,0.6,10,21,,0.1,0.1,0.3,0.087,,-3,-4.5,-7.5
9,Dani Koljanin,21,7,231,6.4,0.447,0.426,0.532,0.298,56,4.9,11.6,8.4,9.4,0.5,0.8,14.4,12.9,,0.1,0.2,0.3,0.051,,-3.3,-1.3,-4.6
10,Milan Mijovic,24,22,313,3.6,0.436,0.41,0.026,0.308,51,4.3,12.3,8.6,7.1,0.8,1.7,29.8,9.7,,-0.2,0.4,0.2,0.026,,-5.8,1,-4.8
11,Ot Elmore,10,1,78,4.2,0.375,0.375,0.95,0,19,2.9,5.1,4.1,15.6,0,0,9.1,13.4,,0,0,0.1,0.026,,-2.7,-4.2,-6.8
12,Will Fenton,1,0,4,7.5,,,,,0,0,49.5,26.3,0,0,0,,0,,0,0,0,0.092,,-10.4,-2.1,-12.6
13,Marcus Reed,3,0,9,13.9,0.169,0,1,1,3,12.5,33,23.4,46.2,0,0,0,15.5,,0,0,0,0.109,,0.5,-0.1,0.4
14,Christian Thieneman,7,0,45,-1.7,0.318,0.313,0.625,0.375,6,2.5,19.8,11.7,0,0,1.9,24.1,13.1,,-0.1,0.1,0,-0.036,,-10.5,-3.6,-14.1
15,Christian Villers,2,0,5,-16.3,0,0,0.5,0,0,0,19.8,10.5,0,0,0,0,19,,0,0,0,-0.23,,-19.5,-6.9,-26.4
