Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Hakim Hart,33,33,1078,18.6,0.598,0.555,0.434,0.353,375,2.9,12.9,7.9,15.7,2.1,0.6,11.7,17.9,,2.9,1.8,4.7,0.173,,4.1,3.3,7.4
2,Jahmir Young,33,33,1028,23.2,0.529,0.467,0.308,0.381,533,4.6,14,9.3,22.7,2.5,1.4,12.1,29.8,,2.9,1.9,4.7,0.184,,6.6,2.9,9.5
3,Julian Reese,32,31,862,23.2,0.619,0.632,0,0.528,352,12,21.1,16.6,8,1.9,4.8,17.4,21.8,,2.2,1.9,4,0.187,,2.8,3.3,6
4,Donta Scott,33,33,1031,16,0.482,0.455,0.389,0.17,379,6.6,16.7,11.7,10.9,1.3,2.7,10,22.8,,1.4,1.8,3.2,0.125,,2.9,1.8,4.7
5,Donald Carey,33,30,812,10.6,0.535,0.502,0.764,0.183,225,1.7,8,4.8,8.7,1.1,0.3,12.4,17.1,,1,1,2.1,0.101,,1.1,1.3,2.4
6,Ian Martinez,33,2,595,13.4,0.587,0.546,0.414,0.343,178,4.4,12.9,8.7,6.2,1.4,1.6,15.1,17.3,,1,0.9,1.9,0.13,,1.2,2.5,3.7
7,Patrick Emilien,30,2,535,11.3,0.616,0.551,0.122,0.857,96,7.8,12.3,10.1,2.6,1.3,4.4,17.9,8.4,,0.7,0.9,1.7,0.124,,0.1,3.8,4
8,Jahari Long,33,0,332,9.8,0.514,0.492,0.381,0.333,88,2.6,5.9,4.3,21.2,1.7,0,19.8,14.7,,0.4,0.4,0.8,0.095,,-0.5,1.7,1.2
9,Noah Batchelor,21,1,146,5.5,0.42,0.389,0.861,0.333,34,1.7,20.1,10.9,6.2,0.8,1.5,16.1,18.3,,-0.1,0.3,0.2,0.044,,-2.8,1.1,-1.7
10,Caelum Swanton-Rodger,20,0,75,8.5,0.675,0.778,0,0.667,16,11.5,13,12.3,0,0,4.3,25.2,11.4,,0.1,0.1,0.2,0.107,,-6.6,2,-4.6
11,Ike Cornish,20,0,99,4.8,0.487,0.442,0.577,0.308,26,3.7,3.7,3.7,0,1.3,0,19,20,,0,0.1,0.1,0.031,,-4.8,0.1,-4.6
12,Carson Dick,2,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.028,,-3.3,1.5,-1.9
13,Pavlo Dziuba,6,0,13,-8.8,0,0,0,0,0,0,9.4,4.7,0,0,0,50,8.3,,0,0,0,-0.098,,-9.4,-0.9,-10.3
14,Brett Karkus,3,0,3,-11.9,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.038,,-20.1,2.9,-17.3
15,Arnaud Revaz,6,0,14,-3.9,0,0,0,0,1,8.8,17.4,13.2,0,0,0,0,3.8,,0,0,0,0.036,,-11.6,0.4,-11.2
