Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Ja'Kobi Gillespie,G,33,33,1036,21.1,0.6,0.532,0.222,503.0,2.1,8.0,5.1,28.1,3.3,0.3,13.5,22.2,3.2,2.2,5.4,0.209,6.3,4.3,10.6,
2.0,Rodney Rice,G,33,29,1012,16.4,0.587,0.568,0.274,423.0,2.2,5.8,4.0,12.1,1.3,0.2,8.0,20.7,2.7,1.7,4.3,0.172,4.6,2.4,6.9,
3.0,Derik Queen,C,33,33,994,24.7,0.591,0.078,0.548,530.0,9.2,24.7,17.1,11.7,2.1,3.7,14.5,26.4,2.8,2.6,5.4,0.219,4.8,4.2,9.1,
4.0,Selton Miguel,G,33,33,933,15.0,0.561,0.505,0.149,355.0,0.9,6.7,3.9,11.9,1.9,0.7,8.3,20.3,1.8,1.7,3.5,0.151,3.0,3.0,6.0,
5.0,Julian Reese,F,33,33,931,24.4,0.599,0.003,0.538,439.0,12.2,24.1,18.2,7.8,2.1,5.9,12.6,21.9,2.7,2.6,5.3,0.228,4.4,4.5,8.9,
6.0,DeShawn Harris-Smith,G,33,4,506,5.6,0.412,0.354,0.354,93.0,3.2,14.9,9.2,10.3,1.6,0.0,19.9,11.2,-0.1,1.0,0.9,0.072,-2.9,3.7,0.9,
7.0,Jayhlon Young,G,33,0,355,10.5,0.495,0.533,0.2,80.0,5.3,8.5,6.9,11.9,3.0,1.8,16.5,10.9,0.3,0.8,1.1,0.123,-0.1,5.3,5.2,
8.0,Tafara Gapare,F,30,0,324,14.5,0.569,0.415,0.354,98.0,4.3,16.3,10.4,3.1,1.9,7.8,15.1,17.1,0.3,0.8,1.1,0.14,-0.9,5.0,4.1,
9.0,Jordan Geronimo,F,27,0,258,19.3,0.567,0.121,0.103,73.0,11.8,16.1,14.0,3.2,4.6,7.8,14.1,13.5,0.4,0.8,1.2,0.181,2.0,6.9,8.8,
10.0,Malachi Palmer,G,20,0,180,6.3,0.425,0.564,0.179,36.0,3.2,15.6,9.5,5.1,0.9,0.6,4.5,12.1,0.1,0.4,0.4,0.096,-4.1,2.8,-1.3,
11.0,Chance Stephens,G,7,0,37,1.4,0.375,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.028,-4.1,-1.5,-5.6,
12.0,Braden Pierce,C,5,0,36,19.4,0.55,0.111,0.444,14.0,13.0,24.9,19.1,14.2,1.6,5.9,8.4,16.3,0.1,0.1,0.2,0.218,-2.7,6.1,3.4,
13.0,Ben Murphy,G,9,0,18,22.8,0.598,0.333,2.0,8.0,6.5,18.7,12.7,16.6,6.3,0.0,14.6,18.7,0.1,0.1,0.1,0.25,0.6,9.0,9.6,
14.0,Lukas Sotell,G,9,0,12,0.8,0.333,0.0,0.0,2.0,0.0,28.0,14.3,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.055,-13.2,2.4,-10.8,
,Team Totals,,33,33,6632,,0.573,0.355,0.329,,,,,,,,,,14.4,14.8,29.1,0.176,3.1,3.9,7.0,
