Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,K.J. Maura,31,28,1081,18.1,0.625,0.588,0.568,0.272,392,2,5.1,3.5,27.6,3.2,0,16.6,15.8,,2.9,1.6,4.4,0.164,,2.7,-1.2,1.5
2,Jairus Lyles,31,30,1074,22.3,0.557,0.512,0.393,0.325,588,2.3,16.2,9.1,22.6,3.4,0.7,14.7,30.9,,2.3,2,4.3,0.161,,2,0.6,2.6
3,Joe Sherburne,34,27,985,16.6,0.595,0.591,0.587,0.091,336,3.1,12.1,7.5,12.9,1.7,1.3,9.3,17.6,,2.1,1.4,3.5,0.142,,1.8,-0.3,1.5
4,Arkel Lamar,31,28,840,15.8,0.519,0.511,0.531,0.284,296,4.6,19.8,12,7.8,2.5,2.4,10.1,20.9,,1,1.6,2.6,0.124,,-1.2,0.8,-0.4
5,Jourdan Grant,32,10,766,11.3,0.52,0.49,0.473,0.333,256,2.1,9.1,5.5,20.1,1.7,1.1,19.9,19.2,,0.6,1,1.6,0.081,,-2.4,-1,-3.4
6,Daniel Akin,34,18,569,9.4,0.589,0.657,0,0.986,127,8.7,14.2,11.4,3.4,1.1,1.7,24.9,12.1,,0.3,0.8,1.2,0.081,,-4.2,0.2,-3.9
7,Nolan Gerrity,33,16,431,12,0.468,0.489,0,0.287,118,10.4,17.2,13.7,9.8,1.2,4.5,17.1,15.1,,0.2,0.7,1,0.089,,-4.8,2.3,-2.5
8,Max Curran,26,10,311,13.2,0.508,0.5,0.505,0.343,114,7.8,23.1,15.2,3.8,0.4,2.7,11.6,22.4,,0.3,0.5,0.8,0.1,,-3.9,-2.8,-6.8
9,Brandon Horvath,30,3,311,14.1,0.511,0.523,0.625,0.307,97,6,17.1,11.4,7.3,1.5,1.9,9.8,18.2,,0.3,0.5,0.8,0.106,,-1.8,-1.1,-2.8
10,Max Portmann,20,0,229,11.6,0.529,0.5,0.074,0.412,80,8.6,10.6,9.6,2.6,0.8,3.7,16.4,21.5,,0.2,0.3,0.5,0.08,,-5.7,-1.6,-7.3
11,Ishmail Jabbie,17,0,124,12.7,0.581,0.533,0.533,0.433,41,6.2,12.1,9.1,8.9,3.3,1,26.4,20,,0.1,0.2,0.3,0.087,,-3,0.2,-2.8
12,David Park,4,0,5,19.5,1,1,0,0,1,0,0,0,0,0,0,0,10.1,,0,0,0,0.146,,1.9,-4.4,-2.5
13,Isiah Rogers,1,0,1,-44.8,0,0,1,0,0,0,0,0,0,0,0,0,50.5,,0,0,0,-0.692,,-30.3,-17.1,-47.5
14,Sam Schwietz,1,0,0,,,,,,,,,,,,,100,,,0,0,0,,,-6.6,0,-6.6
15,Josh Rosario,13,0,73,1.4,0.336,0.25,0.577,0.423,24,1.5,9.5,5.4,21.1,3.2,0,24.3,28.5,,-0.2,0.1,-0.1,-0.062,,-9.8,-2.1,-11.9
