Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Chaz Williams,33,33,1163,17.6,0.528,0.47,0.371,0.455,573,2.6,5.9,4.3,36.5,2.5,0.5,18.8,24.7,,2.3,1.7,3.9,0.136,,4.2,0.5,4.8
2,Cady Lalanne,33,33,956,19.4,0.584,0.557,0.031,0.466,352,12.1,17.4,14.9,1.2,1,6.8,15.6,18.9,,1.7,1.8,3.5,0.146,,0.3,3.4,3.7
3,Trey Davis,33,0,769,15.6,0.54,0.492,0.513,0.378,297,1.6,10.1,6,19.4,2.2,0,11.9,19.8,,1.5,1.2,2.7,0.141,,3.7,1,4.7
4,Sampson Carter,33,33,921,12.6,0.521,0.478,0.364,0.415,324,5.6,12.9,9.4,7.8,1,1.3,15.2,20.1,,0.9,1.3,2.3,0.099,,0.8,1.4,2.2
5,Maxie Esho,32,1,679,17.7,0.577,0.563,0.015,0.497,252,7.5,17.8,12.8,3.7,2.6,3.8,17.2,20.9,,0.8,1.4,2.3,0.133,,-0.4,3.7,3.3
6,Raphiael Putney,33,32,797,15.3,0.539,0.514,0.394,0.211,276,5.1,18.7,12.1,11.2,1.5,4.5,17.4,19.6,,0.8,1.6,2.3,0.117,,0.9,4.4,5.3
7,Derrick Gordon,33,33,942,13,0.488,0.478,0.015,0.325,304,4.3,9,6.7,13.2,2.8,1,14.8,18.8,,0.6,1.5,2.1,0.09,,-0.3,3.4,3.1
8,Tyler Bergantino,32,0,234,7.6,0.565,0.619,0,0.381,33,6.7,14.8,10.9,4.8,0.7,3.1,10.8,5.7,,0.2,0.4,0.6,0.104,,-0.6,3.8,3.2
9,Clyde Santee,15,0,42,24.7,0.719,0.733,0.6,0.333,19,2.7,15,9.1,10.2,1.3,4.3,14.7,23.2,,0.1,0.1,0.2,0.195,,6.2,1.3,7.5
10,Seth Berger,18,0,40,7.3,0.402,0.333,0.444,0.222,9,8.5,13.1,10.9,8.3,1.4,0,9.1,13.1,,0,0.1,0.1,0.086,,-0.6,1,0.4
11,Demetrius Dyson,21,0,82,4.3,0.428,0.405,0.762,0.238,18,1.4,9,5.3,4,2,0,11.4,15.4,,0,0.1,0.1,0.055,,-1.5,0.1,-1.4
