Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Shahada Wells,32,32,1040,27.9,0.576,0.531,0.279,0.379,579,3,12.6,8,27.8,5.4,1.4,11.6,27.4,,3.9,3,7,0.269,,6.6,4.1,10.7
2,Christian Shumate,33,33,962,22.6,0.553,0.568,0.133,0.517,406,15,22.7,18.9,5.4,1.9,7.1,11.4,21.3,,2.3,2.7,5.1,0.212,,1.5,-0.6,0.9
3,Javohn Garcia,31,31,840,19.3,0.586,0.549,0.345,0.388,330,3.3,10.4,7,10.9,3,2.2,7.1,19.7,,2.5,2,4.5,0.213,,1.9,1.2,3.1
4,DJ Richards,33,8,856,18.4,0.655,0.628,0.7,0.285,309,2,7.6,4.9,4.2,2.3,0.3,5.6,18.1,,2.8,1.7,4.5,0.209,,4.2,0,4.1
5,Antavion Collum,33,33,811,16.9,0.552,0.522,0.397,0.301,292,6.4,15.2,11,11,2.3,1.8,10.6,18.4,,1.8,1.9,3.8,0.186,,0.8,0.3,1.1
6,Omar Cooper,33,26,590,15,0.586,0.579,0,0.411,171,2.5,6.7,4.6,25.4,4.1,1.5,25.6,13.1,,0.9,1.4,2.3,0.155,,-2.3,1,-1.3
7,CJ Felder,21,0,393,19.1,0.733,0.717,0.029,0.725,135,11.7,14.6,13.2,3.8,1.7,6.6,21.9,15.4,,1,1,2,0.201,,-0.3,0.4,0.1
8,Cameron Jones,32,0,415,13,0.459,0.43,0.447,0.149,125,7,14.9,11.1,11.8,3.1,2.1,12.9,17.2,,0.4,1.1,1.5,0.142,,-3.3,0,-3.3
9,Mike Saunders,17,0,286,16.2,0.625,0.566,0.328,0.656,103,3,6.7,4.9,16,1.7,0,12.1,16.2,,0.8,0.5,1.4,0.191,,0.5,-0.7,-0.2
10,Roberts Berze,21,2,143,19.4,0.593,0.588,0.684,0.105,61,5.9,18.1,12.2,6.5,2.5,0,9.1,23.4,,0.4,0.4,0.7,0.208,,4.6,-1,3.6
11,T'Johnn Brown,15,0,96,17,0.503,0.468,0.29,0.258,37,1.3,7,4.2,23.6,6.8,0,16.7,22.1,,0.1,0.3,0.4,0.165,,-10.2,3.7,-6.5
12,Wesley Fields,14,0,66,25.7,0.598,0.574,0.37,0.37,33,0,10.2,5.3,14.9,6.3,0,11.2,27.5,,0.2,0.2,0.4,0.233,,0.8,0.1,0.9
13,Nasir Mann,4,0,77,23.6,0.592,0.636,0.318,0.318,29,12.6,23.3,18.1,7.1,3.1,0,7.3,18,,0.2,0.2,0.4,0.229,,,,
14,Dionjahe Thomas,3,0,26,31.7,0.731,0.7,0,0.2,14,23.2,25.9,24.6,0,0,5.6,15.4,25.3,,0.1,0.1,0.2,0.287,,-7.4,-1.2,-8.6
