Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Javohn Garcia,G,33,33,952,20.2,0.553,0.339,0.429,405.0,3.7,10.2,7.0,12.4,3.3,2.3,7.5,22.3,2.7,2.0,4.7,0.198,2.1,2.3,4.4,
2.0,Joe Charles,F,31,31,901,18.6,0.576,0.626,0.21,278.0,10.4,17.7,14.1,5.5,2.7,3.1,7.1,14.4,2.3,2.1,4.4,0.194,3.9,1.6,5.5,
3.0,Christian Shumate,G,33,33,900,20.6,0.619,0.229,0.442,327.0,10.6,16.2,13.5,5.9,1.5,6.3,13.3,18.4,2.1,1.9,4.0,0.177,2.3,1.0,3.3,
4.0,DJ Richards,G,33,22,754,19.1,0.676,0.851,0.239,280.0,2.6,8.7,5.7,6.4,2.8,0.2,8.2,18.3,2.5,1.4,3.9,0.208,4.2,1.6,5.9,
5.0,Quadir Copeland,G,33,22,715,18.8,0.536,0.093,0.469,349.0,3.2,14.0,8.8,38.2,3.7,1.5,23.9,26.0,1.0,1.7,2.7,0.153,-1.3,1.3,-0.1,
6.0,Brandon Murray,G,28,11,693,13.7,0.576,0.287,0.32,210.0,4.9,9.4,7.2,14.4,2.1,1.4,18.4,15.7,1.0,1.2,2.3,0.131,0.6,1.7,2.3,
7.0,Sincere Parker,G,32,0,632,21.3,0.538,0.358,0.285,331.0,4.2,10.2,7.3,6.1,2.4,1.7,6.8,31.2,1.7,1.2,2.9,0.185,2.7,0.0,2.7,
8.0,Bryant Selebangue,F,33,1,483,19.9,0.609,0.012,0.488,150.0,16.4,18.9,17.7,6.1,2.2,1.4,8.6,12.3,1.3,1.1,2.4,0.2,2.4,0.4,2.7,
9.0,T'Johnn Brown,G,21,1,288,10.3,0.488,0.256,0.41,100.0,1.3,7.4,4.4,22.1,4.2,1.9,24.4,21.9,0.0,0.6,0.6,0.085,-5.9,2.4,-3.5,
10.0,Omar Cooper,G,11,9,187,8.4,0.444,0.053,0.263,37.0,1.3,15.1,8.4,28.9,4.2,0.0,45.7,10.8,-0.1,0.5,0.4,0.081,-5.9,3.9,-2.1,
11.0,Alyn Breed,G,2,2,60,19.2,0.642,0.174,0.391,31.0,4.0,7.5,5.8,10.2,3.0,0.0,22.7,30.1,0.1,0.1,0.2,0.146,3.3,2.7,6.0,
12.0,Lamont Evans IV,G,9,0,19,17.8,0.625,1.0,0.0,11.0,0.0,0.0,0.0,12.3,0.0,0.0,14.3,37.8,0.0,0.0,0.1,0.133,7.5,-4.5,3.1,
13.0,Erik Villarreal,G,8,0,17,5.3,0.3,0.6,0.0,4.0,14.1,0.0,6.8,9.3,3.5,0.0,16.7,18.1,0.0,0.0,0.0,0.03,1.4,-3.5,-2.1,
,Team Totals,,33,33,6601,,0.574,0.369,0.352,,,,,,,,,,14.8,13.8,28.6,0.173,1.6,1.4,3.0,
