Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Kendric Davis,33,33,1150,24.5,0.554,0.475,0.34,0.476,736,1.8,9.9,6.1,30.9,3.2,0.6,13.6,32,,4,1.8,5.7,0.2,,6.1,2,8
2,Deandre Williams,34,34,1054,26.6,0.6,0.573,0.157,0.346,591,9.3,19.5,14.7,19,2.6,3.7,13.8,26.9,,3.6,2.1,5.7,0.216,,6.3,3.3,9.6
3,Elijah McCadden,34,21,835,13.2,0.585,0.569,0.159,0.445,264,7.3,11.7,9.6,9.9,1,1.5,18.2,15.6,,1.3,1,2.3,0.109,,1.1,1.1,2.1
4,Chandler Lawson,34,23,669,13.9,0.608,0.6,0.104,0.452,176,8.2,17.5,13.1,6.3,2,3.3,19.6,12.6,,0.9,1.2,2.1,0.125,,0.6,2.8,3.4
5,Keonte Kennedy,25,12,577,15,0.564,0.558,0.508,0.152,205,5.5,7.4,6.5,6.2,2.8,0.6,10.9,19.3,,1,0.8,1.8,0.124,,2.1,1.9,4
6,Alex Lomax,23,16,637,13.4,0.516,0.474,0.244,0.281,181,2.5,10.1,6.5,19,4.8,0.4,22.3,15,,0.5,1.2,1.7,0.105,,-0.2,5.4,5.2
7,Malcolm Dandridge,19,3,276,17.8,0.619,0.571,0.014,0.543,103,7.9,19,13.8,5.1,2.4,7.2,21.4,19.6,,0.4,0.6,1,0.144,,-0.7,4.3,3.6
8,Jayden Hardaway,28,18,471,10.3,0.535,0.504,0.52,0.205,133,2.1,4.6,3.4,5.7,1.4,1,9.1,15.7,,0.6,0.4,1,0.089,,0.4,1.2,1.6
9,Kaodirichi Akobundu-Ehiogu,30,9,315,15.4,0.699,0.738,0.024,0.69,69,5,12.9,9.2,2.1,0,17.5,20.1,10.7,,0.4,0.5,0.9,0.119,,-0.8,4.7,3.8
10,Johnathan Lawson,28,0,452,8.7,0.603,0.593,0.6,0.2,101,1.9,8.3,5.3,11.9,1.2,1.8,26.1,11.9,,0.3,0.5,0.8,0.069,,-0.1,1.4,1.3
11,Damaria Franklin,24,1,426,9.2,0.464,0.452,0.392,0.144,119,4.3,15.6,10.3,7.1,2.7,1.4,17.3,18.3,,-0.1,0.8,0.7,0.065,,-2.4,2,-0.4
12,Conor Glennon,1,0,3,0.4,,,,,1,0,0,0,93.6,0,0,100,16.1,,0,0,0,-0.078,,-5.7,1.6,-4.1
13,Ian Granja,5,0,12,-6,0.25,0.25,0.667,0,3,0,0,0,13.3,4.6,9.8,25,32.2,,-0.1,0,-0.1,-0.172,,-12.9,0.7,-12.2
