Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,PJ Haggerty,G,34,34,1244,22.6,0.592,0.199,0.542,716,3.6,13.7,8.9,20.5,2.8,0.3,15.2,28.5,3.8,2,5.8,0.188,4.5,2.2,6.8,
2,Tyrese Hunter,G,32,32,816.75,15.3,0.552,0.517,0.264,438,2.9,9.5,6.4,18.7,2.4,0.6,15.4,20.6,1.9,1.5,3.4,0.126,3.1,1.8,4.9,
3,Colby Rogers,G,34,34,1023,9.2,0.499,0.612,0.128,323,1.8,5.4,3.7,8.3,1.7,1.1,11.9,18.9,0.8,1.1,1.9,0.075,-0.3,0.8,0.5,
4,Dain Dainja,F,34,18,911,23.1,0.615,0.003,0.45,469,11.8,18.3,15.2,13.6,1.8,5.4,19.2,25.8,2,1.7,3.7,0.162,2.6,2.5,5.1,
5,Nick Jourdain,F,34,34,891,14.6,0.577,0.291,0.411,251,8.7,15.1,12,11.9,1.6,4.7,16,12.1,1.5,1.5,3,0.135,1.2,3.3,4.5,
6,Moussa Cisse,C,34,16,619,19.4,0.534,0,0.984,221,17.1,22.2,19.7,4.4,2.1,9.8,16,16.9,0.9,1.4,2.3,0.152,0.5,3.3,3.9,
7,PJ Carter,G,34,0,484,12.5,0.597,0.801,0.184,157,2.9,8.9,6,4.3,1.3,0,10.5,17,0.9,0.5,1.4,0.12,2.5,0.3,2.8,
8,Baraka Okojie,G,30,1,330,6,0.499,0.351,0.459,61,3.2,8.5,6,15.5,2,1,29.7,9.3,0.1,0.4,0.5,0.061,-3.1,2.7,-0.4,
9,Dante Harris,G,16,1,150.4,10.5,0.516,0.182,0.242,43,2.5,12.7,7.8,14.7,5.1,0,26.1,12.7,0,0.4,0.4,0.089,-4.3,5,0.8,
10,Jared Harris,G,16,0,49,2.5,0.7,0.4,0,7,4.8,6.6,5.7,3.2,2.3,0,54.5,10.8,-0.1,0.1,0,-0.01,-3.9,2.3,-1.6,
11,Demarien Yates,F,13,0,47,26.8,0.859,0.25,0.5,18,12.5,11.5,12,15,4.8,7.2,16.8,12.1,0.2,0.1,0.3,0.26,5.9,7.8,13.6,
,Team Totals,,34,34,6875,,0.568,0.331,0.394,,,,,,,,,,12.2,10.7,22.9,0.133,1.7,2.2,4,
