Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Langston Hall,36,35,1157,21.9,0.577,0.513,0.579,0.421,561,1.5,9.4,5.7,33,2.7,0.5,15.7,24.4,,3.8,1.9,5.7,0.198,,5.1,-0.1,5
2,Daniel Coursey,36,35,856,23.7,0.592,0.571,0,0.271,334,11.6,19.9,16,3.9,0.9,10.4,8.9,20.6,,2.4,1.9,4.3,0.202,,-0.3,4.5,4.2
3,Bud Thomas,36,36,935,16.3,0.584,0.588,0.655,0.049,294,3.1,14.4,9,14.6,1.4,1.7,10.5,17.1,,2,1.6,3.6,0.152,,2.9,1.1,4
4,Anthony White,36,36,772,17.7,0.616,0.585,0.505,0.294,271,3.7,9.4,6.7,9.7,1.5,0.2,7.5,18.2,,2.3,1.1,3.4,0.174,,3.5,-0.9,2.7
5,Jake Gollon,36,36,926,15.7,0.55,0.495,0.253,0.43,322,6.5,13.7,10.3,17.8,2.4,0.9,19.6,18.7,,1.5,1.7,3.2,0.139,,0.5,2.2,2.7
6,Ike Nwamu,35,0,658,17,0.59,0.536,0.237,0.572,268,4.9,13.1,9.2,10,2,1.6,19.3,24.3,,1.1,1.2,2.2,0.136,,-0.8,0.5,-0.3
7,Darious Moten,35,0,427,18.4,0.598,0.583,0.228,0.474,161,8.2,8.9,8.6,11.5,0.7,3.1,12,19.4,,1.1,0.6,1.7,0.16,,1.5,0.2,1.7
8,Monty Brown,34,1,328,21.5,0.706,0.671,0,0.659,135,11.8,17.1,14.6,2.5,0.4,4.8,18.8,21.1,,1,0.6,1.6,0.191,,0,-0.3,-0.3
9,T.J. Hallice,36,0,414,13.9,0.584,0.593,0.086,0.443,105,11.7,12.5,12.1,3.9,1.6,3.8,17.5,13,,0.6,0.7,1.3,0.128,,-0.7,2.3,1.6
10,Jibri Bryan,36,0,336,12.5,0.526,0.495,0.689,0.349,120,4.8,15.7,10.5,8.8,1.6,0.4,15.7,22.8,,0.4,0.6,1,0.114,,-0.5,-1.4,-1.9
11,Kevin Canevari,36,1,323,12.2,0.592,0.549,0.537,0.195,80,1.2,5.6,3.5,30.7,2.8,0,30.9,10.5,,0.5,0.5,1,0.122,,-0.9,-1.5,-2.3
12,Phillip Leonard,32,0,288,15.9,0.521,0.463,0.22,1.049,126,6.5,10.9,8.8,11.1,1.3,0,11.5,25.2,,0.6,0.4,1,0.142,,-1,-2.1,-3.2
13,James Bento,12,0,24,10.3,0.333,0.333,0,0,6,20.8,23.4,22.1,7.3,0,0,0,13.1,,0,0,0.1,0.13,,-2.5,-1.2,-3.7
14,John Mosser,9,0,18,-1.9,0.169,0,0.571,0.571,4,6.9,43.6,26.2,8.4,0,0,10.1,28.7,,-0.1,0,0,-0.085,,-15.2,-3.5,-18.7
