Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan Miller,32,32,1112,23,0.61,0.585,0.244,0.283,487,7.6,13.8,10.8,14.2,2.2,0.9,9.7,20.2,,4,1.1,5.1,0.184,,5.8,1.2,7
2,Norchad Omier,32,31,455.5,26.9,0.627,0.6,0.052,0.455,443,15.4,25.6,20.6,8.2,2,5,15.5,22.8,,3.2,1.5,4.7,0.205,,4.3,1.4,5.7
3,Isaiah Wong,32,32,1062,21.8,0.583,0.526,0.385,0.41,514,3.7,11.5,7.7,18.4,2.5,1.4,12.8,24.2,,3.5,1.1,4.6,0.172,,4.8,1.2,6
4,Nijel Pack,30,30,938,15.9,0.564,0.542,0.544,0.124,370,2.4,7.9,5.2,13.9,1.8,0.7,13.1,21.7,,1.9,0.7,2.6,0.111,,3.4,0.1,3.5
5,Wooga Poplar,32,31,746,16.1,0.588,0.558,0.408,0.189,246,2.2,14.4,8.4,10.9,2.9,1.2,13.8,17.6,,1.4,0.9,2.3,0.125,,1.4,2.1,3.6
6,Bensley Joseph,32,2,660,11.9,0.58,0.549,0.598,0.273,184,1.9,10.3,6.2,15.5,1.7,1.8,21.2,14.5,,0.9,0.6,1.4,0.087,,0.8,1.1,1.9
7,Harlond Beverly,32,1,397,13.3,0.576,0.534,0.416,0.337,121,0.9,10.4,5.8,15.1,2.8,0.5,21.3,16.7,,0.5,0.4,0.9,0.088,,0.1,1.8,1.9
8,Anthony Walker,32,1,330,9.6,0.467,0.444,0.222,0.222,91,5.3,10,7.7,5,1.4,1.3,12.3,17.4,,0.2,0.2,0.4,0.05,,-2.4,-0.6,-3
9,AJ Casey,26,0,176,8,0.44,0.38,0.4,0.48,33,7.8,12.7,10.3,4.2,0.3,3.7,8.9,9.7,,0.2,0.1,0.3,0.066,,-1.5,0.7,-0.8
10,Favour Aire,14,0,38,6.6,0.436,0.429,0,1,10,13.1,12.4,12.7,0,3.1,5.7,22.5,17.7,,0,0.1,0,0.041,,-10.7,0.7,-9.9
11,Filippos Gkogkos,1,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0,,-3.6,-0.2,-3.8
12,Danilo Jovanovich,1,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0,,-3.4,-3.2,-6.5
13,Jakai Robinson,6,0,15,8.3,1,1,0,0,2,0,0,0,10.2,0,7.2,50,6.7,,0,0,0,0.029,,-0.1,0.1,0
14,Christian Watson,10,0,36,11.4,0.439,0.441,0.412,0.294,16,6.9,9.8,8.4,5,0,0,4.9,28.6,,0,0,0,0.052,,-1.8,-4.6,-6.3
