Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Nik Stauskas,36,36,1281,22.7,0.642,0.586,0.528,0.518,594,1.6,8.8,5.3,18.8,1,0.9,12,24.4,,5,1.1,6.2,0.193,,9,0.2,9.2
2,Caris LeVert,37,37,1258,18.2,0.558,0.52,0.396,0.323,470,2,14,8.2,17.2,2.2,0.8,12.7,21.9,,2.7,1.7,4.4,0.14,,4.7,2.6,7.4
3,Glenn Robinson,37,37,1194,18.9,0.566,0.532,0.29,0.308,450,6,11.5,8.8,7.6,1.9,1,9.7,22.3,,2.8,1.4,4.2,0.142,,4.4,1.6,6.1
4,Jordan Morgan,37,27,743,19.9,0.693,0.7,0,0.443,240,12.9,19,16,5.9,1.4,2.3,15.9,15.2,,2.2,1.1,3.3,0.176,,5.2,3.1,8.3
5,Derrick Walton,37,36,989,14.4,0.58,0.531,0.495,0.41,315,1.9,12.4,7.3,19.8,1.4,0.1,18.1,17.6,,1.9,1,2.9,0.119,,4.2,1.5,5.7
6,Jon Horford,37,7,511,18.8,0.576,0.564,0.018,0.236,156,12.8,25.6,19.4,7.2,1.3,5.4,13.4,15.5,,1.1,0.9,2.1,0.162,,2.3,5,7.3
7,Spike Albrecht,37,1,546,13.9,0.566,0.532,0.66,0.287,149,1.5,8,4.8,24.3,2.1,0.2,13,12.6,,1.3,0.6,1.9,0.136,,4.8,0.7,5.4
8,Zak Irvin,37,0,568,16.9,0.6,0.592,0.745,0.107,202,3.3,7.7,5.6,4.7,1,0.6,7.2,21.9,,1.4,0.5,1.9,0.131,,6.3,-1.7,4.6
9,Mitch McGary,8,4,198,26.2,0.572,0.545,0.036,0.436,84,15.5,27.1,21.5,12.6,4.9,3.2,16.4,22.5,,0.5,0.5,1,0.208,,4.7,7.2,11.9
10,Max Bielfeldt,19,0,89,6.3,0.349,0.357,0.429,0.048,18,12,16.8,14.5,0,1.4,2.4,8.5,14.8,,0,0.1,0.1,0.048,,-2.8,-1.2,-4.1
11,Brad Anlauf,8,0,16,-3.4,0.25,0.25,0,0,2,0,15.6,8,10.9,0,0,20,17.5,,0,0,0,-0.08,,-9,0.1,-8.9
12,Andrew Dakich,12,0,24,6.8,0.375,0.375,0.25,0,6,5.5,15.6,10.7,35.2,0,0,33.3,14,,0,0,0,0.052,,-1.8,0,-1.8
13,Sean Lonergan,11,0,23,15.1,0.504,0.4,0.2,0.4,7,11.6,10.8,11.2,7.9,2.8,4.6,25.2,19.4,,0,0,0,0.08,,-0.4,4.5,4.1
14,Cole McConnell,4,0,10,11.4,0.506,0.5,1,0.667,3,0,12.5,6.4,0,0,0,0,22.2,,0,0,0,0.098,,3,-6.3,-3.3
