Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Tre Donaldson,G,34,34,1064,14.6,0.556,0.489,0.246,414,2.2,9.6,6.2,24.5,1.9,0.5,17.3,19.8,1.8,1.6,3.4,0.127,3,3.1,6.2,
2,Danny Wolf,F,34,34,1026,19.7,0.57,0.313,0.377,476,8.8,26.3,18.3,23.3,1.3,4.5,22.2,24.1,1.5,2.4,3.9,0.151,4.2,5.3,9.5,
3,Vladislav Goldin,F,34,34,927,26.4,0.666,0.09,0.581,504,10,17.4,14,9.1,1.1,5.2,15.3,26.7,3.2,1.8,4.9,0.213,7,3.9,10.8,
4,Nimari Burnett,G,34,34,910,14.2,0.644,0.674,0.248,295,3.1,10.9,7.4,9.8,1.8,0.8,14,16.2,1.8,1.4,3.3,0.143,3,3.8,6.9,
5,Roddy Gayle Jr.,G,33,25,864,12.2,0.521,0.29,0.449,323,5,9.8,7.6,15.4,1.8,0.6,17.7,20.6,0.9,1.3,2.2,0.102,0,3.1,3.1,
6,Rubin Jones,G,30,9,627,5.7,0.436,0.661,0.156,117,3.7,8.9,6.5,9.7,2.2,0.8,20.4,11.5,-0.1,1,0.9,0.058,-1.6,4.5,2.9,
7,Will Tschetter,F,34,0,548,15.1,0.618,0.561,0.22,204,8.1,9.1,8.6,7.1,0.6,0.6,9.5,17.9,1.4,0.7,2.1,0.154,3.2,2,5.3,
8,L.J. Cason,G,27,0,313,7.7,0.474,0.545,0.267,108,3.1,9.3,6.5,13.5,1.8,0.3,19.2,22.1,0,0.5,0.4,0.057,-3.1,2.6,-0.4,
9,Sam Walters,F,23,0,291,13.7,0.594,0.816,0.218,100,3.4,10.3,7.1,8,0.4,1.4,6.8,17.4,0.7,0.4,1,0.143,3.6,1.6,5.2,
10,Justin Pippen,G,28,0,187,7.3,0.434,0.682,0.318,52,5.3,6.6,6,13.8,1.8,0.6,15.1,15.7,0.1,0.3,0.4,0.076,-1.7,3,1.3,
11,Phat Phat Brooks,G,13,0,48,13.5,0.584,0.5,1.5,14,7.7,12.9,10.5,9.7,3.5,0,16.3,12.6,0.1,0.1,0.2,0.16,-1.3,5.4,4.1,
12,Jace Howard,G,5,0,19,1.1,0.314,0,1.25,5,13,21.8,17.8,8.3,3,0,32,24.3,-0.1,0,0,-0.056,-12,1.4,-10.6,
13,Harrison Hochberg,F,5,0,8,25.1,0.808,0,0.5,3,15.4,0,7,0,0,0,0,15.2,0,0,0,0.16,7.1,0.1,7.2,
14,Ian Burns,G,6,0,8,-7.2,0,1,0,0,0,0,0,0,0,13.1,0,12.3,0,0,0,-0.109,-8,1.9,-6.1,
15,Charlie May,G,4,0,6,-4.3,,,,0,0,34.5,18.7,0,0,0,100,8.2,0,0,0,-0.08,-7.4,2.7,-4.8,
16,Howard Eisley Jr.,G,3,0,4,-24.8,0,0.5,0,0,0,0,0,0,0,0,0,24.6,0,0,0,-0.292,-24,-6.8,-30.8,
,Team Totals,,34,34,6850,,0.577,0.425,0.35,,,,,,,,,,11.3,11.4,22.7,0.132,2.5,3.6,6.1,
