Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Gary Harris,35,34,1131,22.5,0.561,0.518,0.505,0.312,542,4,10.2,7.3,16.8,3.4,1.6,10.3,26.8,,3.3,2,5.3,0.188,,6.9,2.5,9.4
2,Adreian Payne,31,28,870,25.1,0.607,0.565,0.294,0.39,443,6.8,22.9,15.2,10.2,1,3.8,13.1,28.9,,2.7,1.7,4.3,0.2,,4.5,2.1,6.6
3,Branden Dawson,28,24,792,25.5,0.622,0.613,0.005,0.288,312,13,21.3,17.3,11.7,2.7,3.7,12.5,19,,2.4,1.7,4.1,0.209,,5.4,5.7,11.1
4,Keith Appling,35,32,1102,16,0.545,0.51,0.322,0.483,419,1.5,9.5,5.7,25.9,2.3,1.5,17.1,20.5,,2.1,1.7,3.7,0.135,,3.2,2.2,5.4
5,Denzel Valentine,38,32,1116,14.7,0.512,0.489,0.43,0.245,358,5.2,18.2,12,22.6,2,1.3,18.9,17,,1.5,2,3.6,0.128,,2.8,4,6.9
6,Travis Trice,36,8,801,15,0.577,0.548,0.589,0.213,259,1.2,7,4.3,18.8,2.4,0.9,14,17.2,,1.6,1.1,2.7,0.137,,4.2,1.2,5.4
7,Matt Costello,34,21,501,18.6,0.619,0.598,0,0.575,151,11.6,14.8,13.3,9.6,1.1,10.1,16.6,13.8,,1.1,1,2.1,0.168,,2.5,7.6,10.2
8,Kenny Kaminski,31,3,378,19.2,0.69,0.692,0.74,0.125,124,6.5,7.7,7.2,5.5,1.4,2.5,6,16.2,,1.2,0.5,1.7,0.181,,7.7,0.8,8.5
9,Alex Gauna,29,6,206,9.7,0.521,0.553,0.026,0.342,46,7.8,13.1,10.6,5.2,0.6,4,13.7,12.9,,0.2,0.3,0.5,0.092,,-0.8,2.8,2.1
10,Gavin Schilling,37,1,239,8.9,0.552,0.553,0,0.553,64,14.5,14.6,14.5,6.5,0,4,29.4,14.8,,0.1,0.3,0.5,0.078,,-1.1,2.6,1.5
11,Alvin Ellis,36,1,283,7.6,0.554,0.54,0.26,0.44,66,3.5,6,4.8,8.5,2.8,1.3,26.7,15.2,,0,0.4,0.4,0.061,,-0.9,2.6,1.7
12,Russell Byrd,24,0,175,4.4,0.436,0.444,0.778,0.222,26,4.2,11.6,8.1,2.8,1,3.4,16.7,10.7,,0,0.3,0.2,0.051,,-1.1,2.5,1.4
13,Trevor Bohnhoff,8,0,13,18.1,0.513,0.5,0,2,5,28.5,8.6,18.1,0,0,0,0,15.6,,0.1,0,0.1,0.193,,3.4,-5.8,-2.4
14,Keenan Wetzel,12,0,21,18,0.5,0.5,0.333,0,9,17.7,5.4,11.2,10,0,0,0,22.3,,0.1,0,0.1,0.162,,5.7,-3,2.8
15,Colby Wollenman,12,0,25,5.6,0.571,0.5,0,2.5,4,0,9,4.7,0,0,0,0,9.1,,0,0,0.1,0.097,,-1.5,-1.6,-3.1
16,Dan Chapman,14,0,21,2.1,0.357,0.357,0.429,0,5,5.9,5.4,5.6,8.3,0,0,12.5,19.9,,0,0,0,-0.004,,-3.7,-2.3,-6
