Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM▼
1,Marcus Bingham,27,5,301,22.1,0.554,0.5,0.045,0.545,89,7.8,24.7,16.3,5.9,3.1,12.6,11.7,15.6,,0.5,0.7,1.3,0.172,,1.4,7.3,8.7
2,Aaron Henry,27,25,868,20.1,0.518,0.479,0.222,0.293,404,4.9,14.7,9.8,24.7,2.4,4.2,16,27.4,,1.4,1.3,2.6,0.12,,4.6,3.6,8.2
3,Gabe Brown,24,5,493,16,0.623,0.607,0.58,0.115,140,4.3,10.6,7.4,4.5,1.1,2.8,9.8,15.5,,1,0.4,1.4,0.117,,4.5,1.4,5.9
4,Malik Hall,27,8,465,15.8,0.56,0.517,0.247,0.618,142,9.1,17.6,13.4,14.3,1.2,1.1,17.3,15,,0.9,0.5,1.4,0.119,,2.8,2.7,5.5
5,Joey Hauser,27,16,585,17.7,0.587,0.56,0.51,0.344,241,6.9,22.3,14.6,14.8,1.2,0.9,18.6,23.4,,1.1,0.8,1.8,0.124,,3.1,2,5.1
6,Joshua Langford,26,25,722,11.1,0.473,0.439,0.423,0.222,238,4.3,9.4,6.9,12.5,1.3,1.2,12.3,20.9,,0.6,0.6,1.2,0.065,,0.9,1.3,2.3
7,Thomas Kithier,26,14,281,13.6,0.671,0.65,0,0.325,73,13.1,12.2,12.7,12.2,0.8,1.5,20.6,10.3,,0.6,0.3,0.9,0.128,,-0.9,2.3,1.5
8,Mady Sissoko,24,0,133,12.7,0.572,0.625,0,1,27,10.9,25.8,18.4,0,0,7.1,17.5,10.7,,0.1,0.2,0.3,0.104,,-1.2,2.7,1.4
9,Foster Loyer,19,7,316,11,0.495,0.419,0.765,0.368,91,1.4,9.1,5.3,25.1,0.7,0.3,13.1,14.5,,0.5,0.2,0.7,0.094,,-0.2,1,0.9
10,A.J. Hoggard,25,8,332,6.4,0.37,0.326,0.236,0.347,80,1.3,15,8.2,26.7,1.6,1.6,25,16.8,,-0.3,0.4,0.1,0.008,,-3,2.9,-0.1
11,Julius Marble,26,8,238,14.4,0.615,0.586,0.016,0.594,87,8.9,17.2,13.1,1.8,0.7,1.8,18.8,21.2,,0.4,0.3,0.7,0.111,,-2.7,1.6,-1.1
12,Rocket Watts,27,14,601,7,0.417,0.382,0.354,0.179,213,1.1,6.6,3.9,25.1,0.4,0,14.5,24.2,,-0.1,0.3,0.2,0.014,,-2.2,-1,-3.1
13,Davis Smith,6,0,10,0,0,0,0,1,0,0,0,0,16.2,0,10.5,0,7.4,,0,0,0,-0.046,,-5.4,1.6,-3.8
14,Jack Hoiberg,14,0,44,-3.3,0.214,0.154,0.462,0.538,9,2.5,5,3.8,19.8,0,0,10.9,20.8,,-0.1,0,-0.1,-0.1,,-7.5,-1.7,-9.2
15,Steven Izzo,8,0,11,-23.2,0,0,0.667,0,1,10.2,0,5.1,14.7,0,0,50,27.3,,-0.1,0,-0.1,-0.403,,-18.6,-8.4,-27
