Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Jaden Akins,G,33,33,887,14.6,0.492,0.434,0.201,372.0,3.1,11.6,7.6,11.1,1.8,1.2,7.8,25.7,1.2,1.6,2.9,0.129,2.1,3.0,5.1,
2.0,Jase Richardson,G,32,11,790,21.2,0.641,0.388,0.424,342.0,3.0,11.4,7.4,14.9,1.8,1.5,8.5,20.5,2.7,1.5,4.2,0.214,6.8,5.0,11.8,
3.0,Tre Holloman,G,33,16,757,14.1,0.506,0.491,0.226,312.0,1.0,8.4,4.9,30.0,2.1,1.2,15.5,22.6,1.1,1.4,2.4,0.129,2.4,3.3,5.7,
4.0,Jeremy Fears Jr.,G,32,32,744,15.7,0.539,0.198,0.741,300.0,1.3,8.3,5.0,40.3,2.6,0.8,22.6,18.7,1.4,1.4,2.8,0.149,2.4,4.2,6.6,
5.0,Jaxon Kohler,F,33,30,687,20.9,0.588,0.236,0.271,276.0,14.7,26.5,20.9,12.0,1.1,4.3,15.8,19.1,1.6,1.7,3.3,0.19,5.0,4.3,9.3,
6.0,Coen Carr,F,33,0,666,18.1,0.642,0.082,0.532,226.0,7.9,11.2,9.7,4.8,1.6,4.1,12.8,16.8,1.5,1.3,2.8,0.167,3.9,4.4,8.3,
7.0,Carson Cooper,C,33,0,567,16.8,0.648,0.011,0.768,171.0,9.9,22.7,16.7,6.4,0.7,4.6,13.9,13.1,1.3,1.3,2.6,0.181,2.1,4.7,6.9,
8.0,Frankie Fidler,F,33,7,537,16.4,0.508,0.333,0.497,220.0,6.0,16.7,11.7,8.8,1.8,1.3,8.1,22.6,1.1,1.1,2.2,0.164,2.5,3.6,6.1,
9.0,Szymon Zapala,C,33,33,479,16.7,0.663,0.022,0.489,154.0,13.8,17.4,15.7,8.2,1.1,4.7,20.7,14.4,1.0,1.0,2.0,0.165,1.2,4.5,5.8,
10.0,Xavier Booker,F,32,3,420,10.6,0.509,0.525,0.201,137.0,6.0,13.1,9.8,3.5,0.3,6.2,16.0,21.3,0.1,0.8,0.9,0.086,-0.6,2.9,2.2,
11.0,Kur Teng,G,18,0,56,4.6,0.358,0.615,0.154,12.0,8.6,19.3,14.2,8.5,1.0,0.0,17.7,14.9,0.0,0.1,0.1,0.059,-5.0,2.7,-2.3,
12.0,Gehrig Normand,G,12,0,25,9.8,0.571,0.714,0.0,8.0,4.8,0.0,2.3,21.4,0.0,0.0,12.5,15.8,0.1,0.0,0.1,0.127,0.1,1.5,1.7,
13.0,Nick Sanders,G,9,0,11,13.2,0.5,0.333,0.0,5.0,10.9,9.8,10.3,0.0,0.0,0.0,14.3,31.4,0.0,0.0,0.0,0.036,-1.9,-1.1,-3.0,
,Team Totals,,33,33,6626,,0.559,0.327,0.378,,,,,,,,,,12.9,13.2,26.2,0.158,2.9,4.0,6.9,
