Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Reggie Upshaw,35,35,1091,22.8,0.531,0.534,0.191,0.452,495,10.5,20.4,15.4,14.6,2.7,3,12.4,23.9,,2.3,2.2,4.6,0.168,,2.2,3.8,6
2,Giddy Potts,29,27,812,23.6,0.653,0.633,0.553,0.284,359,3.6,17.5,10.4,9.3,2.1,1.4,8.8,21.8,,2.9,1.4,4.3,0.213,,6,0.7,6.7
3,Perrin Buford,35,30,1016,19.3,0.557,0.531,0.117,0.343,418,6.9,16.1,11.4,14,1.4,4.5,15.1,22.1,,1.9,1.8,3.7,0.145,,0.4,3.3,3.7
4,Darnell Harris,35,32,931,16.1,0.522,0.497,0.435,0.348,386,5.7,11.4,8.5,9.3,1.1,2.8,10.7,23.8,,1.6,1.3,2.9,0.125,,0.9,0.2,1.1
5,Jaqawn Raymond,35,15,829,9.4,0.539,0.514,0.623,0.384,196,1.7,8.1,4.9,13.4,2.4,0.5,21,13.3,,0.5,1.2,1.8,0.085,,-0.4,1.4,0.9
6,Edward Simpson,30,14,651,9.3,0.482,0.478,0.62,0.285,160,2,11.8,6.8,14.6,1.3,0.3,14.3,14.1,,0.5,0.9,1.3,0.082,,-0.8,0.4,-0.5
7,Aldonis Foote,29,0,253,14.5,0.525,0.514,0.157,0.329,86,7.5,20.3,13.8,10,2.5,0.4,15.6,19.1,,0.3,0.5,0.8,0.122,,-1.8,1.3,-0.5
8,Jacob Ivory,16,11,257,10.9,0.525,0.354,0.171,0.829,70,0.9,10.2,5.5,18.4,2.5,0.4,21.9,14.4,,0.3,0.4,0.7,0.101,,-2.5,1.1,-1.4
9,Xavier Habersham,34,2,381,7.5,0.464,0.457,0.61,0.162,97,3.5,12,7.7,4.3,0.5,1.5,10.3,16.7,,0.1,0.5,0.6,0.063,,-2.6,-1.1,-3.8
10,Quavius Copeland,35,8,524,8.1,0.474,0.453,0.291,0.215,174,0.4,6.5,3.4,23.1,1.4,0,23.3,21.9,,-0.2,0.6,0.4,0.031,,-4.5,-2.1,-6.5
11,Karl Gamble,32,0,136,4.8,0.367,0.333,0,0.767,33,10.6,17.7,14.1,0,0.4,4.2,16.4,18.2,,-0.1,0.2,0.1,0.023,,-9.8,-2.3,-12
12,Joshua Phillips,27,1,144,5.7,0.491,0.5,0.042,0.667,32,9.2,24.6,16.8,0,1.6,2.4,33.6,16.7,,-0.2,0.3,0.1,0.027,,-9.5,-1.4,-11
