Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Kyle Kelm,35,29,1052,16.7,0.581,0.528,0.144,0.667,421,6.8,13.2,10,12.3,1.1,0.5,15.9,21.8,,2,1.2,3.2,0.121,,0.4,-0.5,-0.1
2,Austin Arians,35,33,1142,13.5,0.599,0.577,0.606,0.223,342,3,9.4,6.2,9.5,1.4,0.4,12.9,16.7,,1.8,1.2,3,0.104,,2,-0.6,1.3
3,Matt Tiby,35,35,934,17,0.557,0.465,0.267,0.833,429,8.1,20.4,14.3,16.2,1.1,1.1,20.6,26.2,,1.3,1.4,2.7,0.115,,-0.4,0.1,-0.2
4,Jordan Aaron,31,30,1021,14.7,0.525,0.466,0.537,0.371,423,1.4,9.6,5.5,17.3,2,0.4,13,25.2,,1.4,1.2,2.5,0.1,,1.2,-1.4,-0.1
5,Steve McWhorter,35,35,1195,10.8,0.477,0.436,0.37,0.383,322,2.7,11.3,7,23.7,2.5,1.4,20.9,15.7,,0.5,1.7,2.1,0.072,,-1.4,1.7,0.3
6,Malcolm Moore,34,1,444,12.2,0.502,0.472,0.275,0.358,137,10.8,15.8,13.3,9.2,1.1,3.6,18.5,18.2,,0.3,0.6,0.9,0.08,,-2.5,1.1,-1.5
7,J.J. Panoske,33,6,342,13.6,0.478,0.436,0.396,0.228,108,7.9,20.5,14.2,9,0.5,8.7,17.7,20.5,,0,0.6,0.6,0.071,,-4.4,3,-1.3
8,J.R. Lyle,29,2,262,11.3,0.463,0.467,0.44,0.227,76,3.1,5.8,4.5,16,4.7,0,13.5,18.9,,0,0.4,0.5,0.069,,-1.5,0.3,-1.1
9,Cody Wichmann,28,0,191,13.8,0.588,0.574,0.667,0.148,57,2.4,5.5,4,8.3,0.9,0.6,4.9,16.4,,0.4,0.2,0.5,0.112,,1.4,-3.1,-1.7
10,Quinton Gustavson,15,0,57,21.2,0.642,0.656,0.438,0.25,18,4.1,22.5,13.3,4.2,2.1,1.9,0,16.2,,0.2,0.1,0.3,0.182,,1.6,-0.8,0.8
11,Mitch Roelke,21,0,126,6.7,0.592,0.553,0.842,0.421,27,0.9,5.6,3.2,13.9,0.9,0,26,12.6,,0.1,0.1,0.2,0.051,,-2.3,-2.8,-5.1
12,Thierno Niang,20,4,243,5.1,0.525,0.5,0.22,0.244,49,1.4,15.9,8.7,13.4,2.2,0,33.5,14.6,,-0.2,0.4,0.1,0.023,,-5.8,0.9,-4.9
13,Evan Richard,15,0,67,6.9,0.44,0.357,0.357,0.286,14,5.2,3.5,4.4,2.9,0.9,1.6,11.2,13.8,,0,0,0.1,0.039,,-4.3,-1.6,-5.9
