Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Nate Mason,34,32,1174,17.8,0.494,0.436,0.333,0.347,537,2,8.8,5.5,29.1,2.2,0.4,11,24.8,,2.2,1.9,4.1,0.139,,3.7,2.1,5.8
2,Amir Coffey,33,33,1097,15.6,0.559,0.503,0.325,0.5,397,2.3,9.6,6.1,17.9,1.9,0.4,15,19.2,,1.9,1.7,3.6,0.13,,3,2.8,5.8
3,Jordan Murphy,34,34,934,19.2,0.536,0.509,0.111,0.516,369,9.6,23.5,16.8,6.4,1.4,3.7,13.5,21.9,,1.4,2.1,3.6,0.153,,0.3,4.2,4.5
4,Reggie Lynch,33,32,763,21.1,0.567,0.543,0,0.487,267,9.9,17.4,13.8,4,1.1,14.5,16.7,19,,1,1.9,3,0.156,,-1,10,9
5,Dupree McBrayer,34,21,947,15.7,0.551,0.509,0.309,0.393,358,1,6.3,3.8,19.5,1.7,1,13.1,20.4,,1.7,1.3,3,0.127,,2.6,1.6,4.2
6,Akeem Springs,32,15,768,14,0.522,0.506,0.653,0.175,270,2.4,10.4,6.5,11.1,1.3,0.8,9.4,20.6,,1,1.1,2.2,0.113,,3.1,1.3,4.4
7,Eric Curry,34,2,681,14.3,0.494,0.447,0.181,0.4,207,8.5,18.4,13.6,11.5,1.3,3.3,15.5,16.4,,0.7,1.4,2,0.12,,0,5.1,5
8,Bakary Konate,33,1,320,10.1,0.506,0.463,0.024,0.585,62,9.9,19.5,14.9,1.6,1.4,7.6,25.6,10.9,,0.1,0.8,0.8,0.103,,-3.5,6.6,3.1
9,Michael Hurt,25,0,149,3.2,0.411,0.35,0.7,0.2,21,2.9,6.1,4.6,6.7,0.8,0.7,21.5,9.3,,0,0.2,0.1,0.035,,-2.4,2.1,-0.2
10,Brady Rudrud,5,0,9,28.8,0.759,0.833,0.333,0.667,4,0,11.2,5.8,0,0,0,0,21.7,,0,0,0.1,0.222,,6.4,-4.6,1.8
11,Gaston Diedhiou,4,0,9,7.9,0.333,0.333,0.333,0,2,12.1,11.2,11.6,0,0,0,0,16.5,,0,0,0,0.044,,-4.3,-3.8,-8
12,Ahmad Gilbert,15,0,75,5.3,0.433,0.426,0.815,0.148,22,2.9,16.1,9.8,5,1.5,2.6,21.7,24.3,,-0.1,0.1,0,0.003,,-4.1,1.2,-2.9
13,Darin Haugh,5,0,8,0.9,0,0,1,0,1,0,25.2,13.1,39.2,0,0,50,12.4,,0,0,0,-0.056,,-9.2,1.8,-7.4
14,Stephon Sharp,9,0,16,6.1,1.053,,,,2,0,0,0,9.8,3.6,0,51.3,6,,0,0,0,0.097,,-0.8,1.2,0.5
