Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Stefan Moody,34,33,975,23.5,0.55,0.478,0.513,0.381,520,3.5,9.6,6.6,18.4,3.5,0.4,11.7,29.9,,3.2,1.3,4.5,0.185,,8,0.9,8.9
2,Sebastian Saiz,34,32,790,18.4,0.595,0.578,0.006,0.422,240,9.3,16.7,13,2.6,1.7,5.1,11.5,15.5,,1.7,1.1,2.9,0.146,,2,3.6,5.6
3,LaDarius White,34,8,807,17.5,0.544,0.51,0.48,0.299,331,1.8,12.9,7.4,12,1.9,0.9,13,24.9,,1.6,0.9,2.5,0.122,,3.7,0.3,4
4,M.J. Rhett,34,31,754,16,0.594,0.573,0.005,0.229,233,8.4,14.6,11.5,4.8,0.6,2.9,15.1,16.7,,1.4,0.8,2.2,0.115,,1.5,1.8,3.3
5,Dwight Coleby,34,3,560,18.9,0.591,0.532,0,0.508,184,13.1,19.2,16.2,0.7,0.6,6.3,13.8,16.3,,1.3,0.8,2.1,0.153,,0.5,1.6,2.2
6,Jarvis Summers,33,33,965,14.8,0.443,0.37,0.32,0.444,432,1.6,5.4,3.5,33.6,1.7,0.5,13,26.8,,1.4,0.7,2.1,0.088,,2.1,-1.3,0.8
7,Martavious Newby,34,26,693,14.3,0.506,0.447,0.425,0.398,164,8.2,20.9,14.6,12.7,3.5,1.4,22.9,12.6,,0.6,1.3,1.9,0.112,,2.1,5.4,7.4
8,Terence Smith,34,2,539,10.4,0.5,0.48,0.536,0.152,139,0.4,8.2,4.3,20.3,1,0.4,12.4,14.3,,0.7,0.4,1.1,0.082,,1.7,-0.6,1.1
9,Aaron Jones,24,1,309,15.3,0.537,0.474,0.018,0.404,77,8.6,12.8,10.7,5.5,2.7,7.1,16.1,13.2,,0.4,0.5,0.9,0.118,,0.6,6.4,7
10,Anthony Perez,27,0,290,9.1,0.414,0.377,0.603,0.37,75,9.2,11,10.1,3.8,1.6,1.7,13.2,17.1,,0.1,0.3,0.4,0.052,,0,0.5,0.5
11,Marcanvis Hymon,6,0,51,7.3,0.588,0.6,0,0.4,8,4.3,10.8,7.6,10.5,2.3,4.8,40.2,9.8,,0,0.1,0.1,0.044,,-1.9,5.4,3.6
12,Roderick Lawrence,13,0,105,9.1,0.401,0.404,0.538,0.115,25,4.2,13.6,8.9,17.5,2.3,1.2,18,16,,0,0.1,0.1,0.049,,-0.4,2,1.7
13,Terry Brutus,2,1,7,12.4,,,,,0,0,0,0,23.1,8.5,0,,0,,0,0,0,0.126,,-0.6,3.4,2.8
