Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Sean Pedulla,G,33,33,1083,18.1,0.574,0.529,0.266,476.0,1.5,10.8,6.0,21.5,3.2,0.7,13.2,23.2,2.1,1.6,3.7,0.137,4.3,3.3,7.6,
2.0,Jaylen Murray,G,33,28,1011,14.4,0.538,0.514,0.203,353.0,0.3,8.0,4.1,21.3,2.7,0.9,11.7,18.5,1.4,1.3,2.7,0.107,2.4,2.9,5.3,
3.0,Matthew Murrell,G,29,28,868,16.0,0.538,0.484,0.304,294.0,2.3,10.9,6.5,11.6,3.4,0.9,6.2,17.9,1.5,1.3,2.8,0.129,2.9,3.8,6.8,
4.0,Dre Davis,G,31,31,805,16.9,0.532,0.275,0.384,319.0,7.0,13.7,10.3,9.6,2.3,5.0,11.2,21.5,1.2,1.3,2.5,0.122,2.0,2.9,4.9,
5.0,Jaemyn Brakefield,F,33,1,757,20.8,0.596,0.279,0.529,355.0,6.6,15.3,10.8,15.6,1.9,1.5,11.2,22.8,2.1,1.1,3.2,0.169,5.4,2.5,7.9,
6.0,Malik Dia,F,33,33,680,22.1,0.536,0.284,0.393,327.0,7.5,24.4,15.7,8.1,2.0,5.5,6.9,26.2,1.5,1.3,2.8,0.163,4.4,2.4,6.8,
7.0,Davon Barnes,F,33,10,675,10.7,0.475,0.426,0.342,178.0,4.8,13.0,8.8,7.3,2.1,1.7,8.2,14.8,0.5,0.9,1.4,0.085,-0.2,2.4,2.2,
8.0,Eduardo Klafke,G,33,0,340,8.4,0.634,0.743,0.314,53.0,2.6,8.6,5.5,7.2,2.4,2.7,21.5,7.7,0.2,0.4,0.7,0.081,-0.1,3.6,3.4,
9.0,Mikeal Brown-Jones,F,28,1,282,16.2,0.578,0.155,0.817,113.0,6.7,12.0,9.3,7.2,1.8,6.9,14.7,20.9,0.5,0.4,1.0,0.135,-1.2,3.0,1.8,
10.0,John Bol,F,17,0,69,12.5,0.64,0.0,0.5,19.0,11.3,15.3,13.2,0.0,0.0,9.4,25.2,14.6,0.1,0.1,0.2,0.087,-2.6,0.8,-1.8,
11.0,Robert Cowherd,G,10,0,42,-0.8,0.0,0.75,0.0,2.0,2.6,2.8,2.7,7.2,2.7,3.1,20.0,6.1,-0.1,0.0,0.0,-0.02,-6.4,2.9,-3.5,
12.0,Ja'Von Benson,F,9,0,29,17.1,0.621,0.167,1.0,10.0,7.7,28.2,17.7,0.0,4.0,8.9,25.3,20.8,0.0,0.1,0.1,0.131,-4.4,3.4,-1.0,
13.0,Cam Brent,G,7,0,11,10.6,0.404,0.25,0.5,4.0,0.0,31.9,15.5,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.06,-6.4,-1.3,-7.7,
,Team Totals,,33,33,6652,,0.549,0.402,0.356,,,,,,,,,,11.1,9.8,20.9,0.126,2.6,2.9,5.5,
