Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Josh Hubbard,34,15,937,19.9,0.552,0.501,0.637,0.311,507,1.1,7.7,4.4,13.5,1.4,0.5,7.4,30,,3.1,1.1,4.2,0.178,,6.8,0.8,7.6
2,Cameron Matthews,34,34,983,20.2,0.62,0.629,0.112,0.561,355,9.5,17.4,13.5,19.3,4.1,2.9,22.4,16.8,,1.9,2.2,4.1,0.166,,2.5,5.7,8.2
3,Tolu Smith,22,18,621,22.6,0.576,0.564,0,0.702,321,13.6,19.9,16.8,9.8,1.3,1.7,15.9,27.4,,1.5,1,2.5,0.161,,3.9,1.1,5
4,Shakeel Moore,32,22,751,14,0.57,0.545,0.384,0.283,241,1.5,9.1,5.4,14.5,2.2,0.8,13.1,17,,1.3,1,2.3,0.124,,1.2,2.9,4.1
5,D.J. Jeffries,32,26,848,12.3,0.495,0.475,0.517,0.328,216,5,19.3,12.2,10.9,2.3,2,16.5,14.5,,0.6,1.6,2.2,0.103,,0.7,3.6,4.3
6,Dashawn Davis,34,23,805,12.5,0.487,0.454,0.444,0.275,243,1.3,7.3,4.3,20,4,0.3,16.1,17.1,,0.7,1.3,2.1,0.103,,-0.2,4.2,4
7,Jimmy Bell,34,16,535,15.4,0.518,0.469,0,0.641,182,12.4,23.7,18.1,5.5,1.6,4.4,20.9,19.4,,0.4,1.1,1.4,0.108,,-1.1,1.9,0.9
8,Shawn Jones,34,9,581,10.8,0.519,0.489,0.467,0.219,161,6.3,6.4,6.3,9.9,2.1,2.4,15.6,15.2,,0.6,0.8,1.4,0.097,,-0.4,2.8,2.4
9,KeShawn Murphy,20,0,261,16.3,0.544,0.519,0.313,0.288,102,10.5,16.8,13.7,13.6,0.7,3.6,18,21,,0.4,0.4,0.8,0.119,,1.4,1.3,2.7
10,Trey Fort,19,7,222,14.3,0.518,0.506,0.708,0.157,88,4.6,13.1,8.9,8.9,1,2.1,10.3,23.7,,0.3,0.3,0.6,0.116,,2.7,1.2,3.9
11,Gai Chol,15,0,98,16.2,0.687,0.6,0,0.5,33,12.8,12.6,12.7,0,0,2.4,13.9,14.5,,0.3,0.1,0.4,0.161,,-1,0.1,-1
12,Andrew Taylor,7,0,-76,15.5,0.53,0.52,0.6,0.04,28,4.5,10.3,7.5,22.5,1.5,0,7.3,17.8,,0.2,0.1,0.3,0.155,,1.3,1.6,2.9
13,Jaquan Scott,11,0,66,6.2,0.374,0.4,0.067,0.333,16,8.7,18.7,13.7,10.7,3.5,1.8,28.7,18.2,,-0.1,0.1,0,0.009,,-6.3,2.7,-3.7
14,Adrian Myers,9,0,33,-2,0.455,0.455,0.818,0,8,3.5,13.6,8.6,0,3.5,0,38.9,26.9,,-0.1,0.1,-0.1,-0.106,,-11.7,0,-11.6
15,Isaac Stansbury,7,0,8,-15.8,,,,,1,0,28.1,14.2,19,0,0,100,18.5,,-0.1,0,-0.1,-0.274,,-17,-2.1,-19.1
