Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Josh Hubbard,G,33,33,1085,19.6,0.555,0.625,0.305,564.0,0.9,6.7,3.7,18.2,1.6,0.3,6.4,26.4,3.6,0.8,4.4,0.161,6.3,0.4,6.6,
2.0,Cameron Matthews,F,33,31,966,16.7,0.529,0.14,0.553,305.0,8.6,16.3,12.3,19.9,4.9,3.0,26.1,15.3,0.8,1.8,2.6,0.108,1.6,5.4,7.0,
3.0,KeShawn Murphy,F,33,3,796,24.7,0.582,0.09,0.33,376.0,10.3,24.0,16.9,13.5,2.2,6.0,13.1,23.3,2.0,1.4,3.4,0.171,5.3,2.9,8.2,
4.0,Claudell Harris Jr.,G,33,17,749,14.9,0.534,0.713,0.154,274.0,1.8,12.1,6.8,9.2,2.1,0.7,7.3,20.3,1.3,0.8,2.1,0.112,3.2,1.3,4.4,
5.0,RJ Melendez,G,33,28,740,17.2,0.549,0.494,0.333,279.0,7.3,14.4,10.7,6.6,2.5,3.7,11.0,19.6,1.4,1.0,2.4,0.129,2.8,2.3,5.1,
6.0,Riley Kugel,G,32,14,716,15.4,0.533,0.464,0.246,283.0,5.2,9.8,7.4,12.5,2.8,1.2,13.7,21.7,1.0,0.8,1.9,0.103,2.3,1.8,4.1,
7.0,Shawn Jones Jr.,G,33,4,641,14.1,0.549,0.462,0.285,167.0,6.1,8.5,7.3,7.6,2.7,3.9,6.9,12.0,1.2,0.7,1.9,0.119,2.1,3.2,5.3,
8.0,Michael Nwoko,C,33,31,508,20.5,0.552,0.045,0.423,212.0,13.2,19.8,16.4,8.3,1.5,6.7,10.9,20.0,1.2,0.8,2.0,0.154,1.8,1.7,3.5,
9.0,Dellquan Warren,G,25,0,160,7.2,0.368,0.556,0.278,31.0,0.7,14.9,7.5,30.8,3.9,3.1,48.3,11.9,-0.2,0.3,0.1,0.013,-3.9,3.8,-0.1,
10.0,Kanye Clary,G,7,4,133,13.7,0.463,0.263,0.526,47.0,0.0,7.7,3.7,22.5,3.5,0.0,9.5,19.1,0.2,0.1,0.3,0.097,-2.1,2.3,0.2,
11.0,Gai Chol,C,15,0,65,15.1,0.599,0.063,0.313,23.0,13.1,7.0,10.1,5.4,2.6,0.0,17.9,16.6,0.1,0.1,0.2,0.113,-1.7,0.1,-1.6,
12.0,Martavious Russell,G,11,0,56,17.8,0.669,0.471,0.118,20.0,5.7,10.1,7.8,6.7,1.0,4.5,14.3,18.1,0.1,0.0,0.2,0.115,3.6,1.1,4.7,
13.0,Jeremy Foumena,C,9,0,26,11.9,0.459,0.667,0.444,10.0,8.2,13.1,10.5,6.5,0.0,9.7,8.4,22.1,0.0,0.0,0.1,0.093,-5.1,0.3,-4.8,
14.0,Harrison Alexander,G,11,0,25,-3.1,0.25,1.0,0.0,3.0,0.0,18.1,8.8,6.0,0.0,0.0,25.0,15.5,-0.1,0.0,-0.1,-0.09,-7.7,-2.5,-10.2,
15.0,Trey Jackson III,G,5,0,8,3.6,0.169,0.5,1.0,1.0,13.3,14.2,13.7,0.0,7.2,0.0,0.0,17.8,0.0,0.0,0.0,0.003,-13.7,2.4,-11.3,
,Team Totals,,33,33,6674,,0.546,0.423,0.316,,,,,,,,,,12.7,8.6,21.3,0.128,2.9,2.4,5.3,
