Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan Barnett,32,32,-1091,18.1,0.618,0.579,0.627,0.259,394,5.7,13.7,10,6.8,1.3,1.9,12.3,19.3,,2.7,1.5,4.3,0.157,,5.2,2.1,7.4
2,Kassius Robertson,32,32,1149,16.7,0.603,0.558,0.645,0.399,470,1,8,4.8,14.2,1.7,0.2,14.5,22.7,,2.8,1.3,4.1,0.144,,5.3,0.6,5.9
3,Jontay Porter,32,6,780,22.4,0.58,0.532,0.459,0.442,336,8,23.1,16.1,18.8,2.1,7.2,17.9,22.7,,1.8,1.8,3.6,0.186,,4,7.4,11.4
4,Jordan Geist,32,10,825,14.2,0.588,0.547,0.534,0.54,263,2.9,13.8,8.8,21.6,1.9,0,21.4,16.2,,1.4,1.2,2.6,0.128,,3.1,2.5,5.5
5,Kevin Puryear,32,25,799,13.2,0.546,0.473,0.243,0.485,274,7.8,11.6,9.8,6.9,0.7,1.1,15.6,19.5,,1.2,0.9,2.2,0.11,,0.7,1.2,1.8
6,Jeremiah Tilmon,32,32,627,14.7,0.563,0.567,0,0.368,249,12.4,12.7,12.5,5.7,0.8,5.4,22.6,25.3,,0.3,0.9,1.3,0.082,,-2.1,2.9,0.9
7,Reed Nikko,32,0,258,15.8,0.55,0.549,0,0.784,78,10.2,18.3,14.6,4.7,0.9,8.7,18.6,17.3,,0.3,0.5,0.8,0.118,,-2,5.6,3.6
8,Terrence Phillips,20,0,-212,10.6,0.616,0.561,0.606,0.485,69,4.1,11.1,7.9,32.8,1.4,0,35.1,15.3,,0.3,0.3,0.6,0.107,,1.3,0.3,1.6
9,Cullen VanLeer,31,13,442,5.9,0.472,0.493,0.865,0.095,77,0.6,10,5.6,12.5,1.7,0,21.4,11.5,,0,0.6,0.5,0.05,,-0.3,1.8,1.5
10,Blake Harris,14,9,-195,14.1,0.44,0.407,0.13,0.241,76,3.8,15.4,10.1,46,4.3,0,28.5,22.4,,0,0.4,0.4,0.089,,-1,3.7,2.7
11,Michael Porter Jr.,2,1,25,19.6,0.389,0.389,0.333,0,13,15,30.1,23.1,11,0,4.3,0,37.4,,0,0,0.1,0.111,,-2,-1.4,-3.5
12,Adam Wolf,4,0,10,50.7,1.125,1.125,0.75,0,4,0,0,0,0,5.9,0,0,20.8,,0.1,0,0.1,0.285,,22,-0.1,21.9
13,Brett Rau,10,0,37,6.2,0.504,0.583,0.333,0.333,7,3.4,2.9,3.1,10.4,1.6,0,22.3,12.6,,0,0,0,0.036,,-1.5,0.5,-1
