Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Mark Mitchell,F,32,32,792.9,21.7,0.576,0.171,0.706,440,6.1,13.6,9.9,13.4,2,3.2,11.5,24.8,2.6,1,3.6,0.164,5,1.6,6.5,
2,Tamar Bates,G,33,33,854,20.7,0.643,0.432,0.292,384,3.3,8.9,6.2,7.7,2.9,0.7,11.4,22.4,2.7,0.9,3.6,0.168,6,2.1,8.1,
3,Anthony Robinson II,G,32,30,731,21.8,0.626,0.287,0.784,336,5,11.2,8.2,26.4,5,0.8,18.4,19.4,2.4,1.2,3.6,0.195,4.1,5,9.1,
4,Tony Perkins,G,31,27,729,16.4,0.577,0.29,0.543,291,4.2,8.9,6.6,19.1,2.7,0.9,16.7,19.1,1.6,0.8,2.4,0.13,3.2,2.2,5.5,
5,Caleb Grill,G,28,1,726,23.1,0.66,0.745,0.298,333,3.5,12.8,8.2,8.6,3.5,0.3,8.5,21.7,2.7,1,3.7,0.204,8.4,2.9,11.3,
6,Trent Pierce,F,32,19,551,17.6,0.575,0.606,0.388,219,8.4,14.3,11.4,10.3,2.2,1.2,10,18.9,1.4,0.6,2.1,0.15,4.5,1.3,5.8,
7,Josh Gray,C,32,16,506,12.7,0.554,0.047,0.984,137,14,26,20.1,6,1.1,3.1,23,11.9,0.7,0.8,1.4,0.111,0.4,1.5,1.9,
8,Marques Warrick,G,32,0,431,21.5,0.634,0.503,0.272,201,2.6,5.2,3.9,17.7,1.7,0.3,5.5,20.7,1.8,0.3,2,0.19,7.6,0.7,8.4,
9,Jacob Crews,G,32,0,414,15.2,0.511,0.69,0.113,164,6.8,12.5,9.7,4,1.4,0.8,2.7,21.7,0.9,0.4,1.3,0.126,4.2,-0.6,3.5,
10,Aidan Shaw,F,28,0,258,15.5,0.659,0.17,0.34,71,9,14.1,11.6,4,2.2,4.8,18,12.8,0.4,0.3,0.8,0.12,1.9,2.1,4,
11,Marcus Allen,G,26,0,238,13.6,0.595,0.122,0.829,77,8.7,16.8,12.8,8.1,2.2,0.9,20.8,15,0.4,0.3,0.7,0.121,0.4,2,2.3,
12,Annor Boateng,G,17,7,109,7.7,0.457,0.385,0.731,33,4.5,6.5,5.5,7.5,3.1,1,20.4,20,0,0.1,0.1,0.03,-6,0.5,-5.5,
13,Peyton Marshall,C,22,0,97,7.6,0.426,0,1.056,26,10.1,20.6,15.4,5.1,3.5,7,30.7,19.9,-0.2,0.2,0,-0.001,-7.4,2.8,-4.7,
14,T.O. Barrett,G,18,0,92,13.7,0.598,0.091,0.455,33,1.3,7.7,4.6,19.5,3.7,1.2,20.7,18.1,0.1,0.1,0.2,0.107,-1.2,4.7,3.5,
15,Jeremy Sanchez,G,5,0,6,1.2,0.351,,,1,0,19.6,10,0,0,0,0,11.7,0,0,0,0.006,-8.7,-0.4,-9.1,
16,JV Brown,G,3,0,3,-38.8,0,0,0,0,0,0,0,0,0,0,50,33,0,0,0,-0.542,-42.9,-15.4,-58.3,
,Team Totals,,33,33,6626,,0.599,0.415,0.468,,,,,,,,,,17.4,8,25.4,0.154,4.2,2.1,6.2,
