Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ahmaad Rorie,34,34,1178,19.9,0.576,0.55,0.424,0.211,518,1.9,12.6,7.4,21.7,1.6,0.2,10.3,21.9,,3.6,1.5,5.1,0.173,,2.8,-1.3,1.5
2,Michael Oguine,33,33,1000,21.6,0.609,0.567,0.353,0.594,436,7.2,14.8,11.1,11.5,2.5,2.6,14.2,21.7,,3,1.7,4.6,0.186,,2.5,1.1,3.6
3,Sayeed Pridgett,34,34,1009,23.2,0.632,0.635,0.107,0.235,480,5.9,14.4,10.3,15.8,2.5,2,16.9,25.3,,2.7,1.7,4.4,0.174,,1.6,0.9,2.5
5,Kendal Manuel,34,1,658,17.8,0.619,0.574,0.629,0.333,277,2.2,11.3,6.9,11.7,1.5,0.4,14.7,22.6,,1.7,0.8,2.5,0.152,,2,-2.6,-0.7
6,Bobby Moorehead,34,34,1003,9.3,0.478,0.467,0.727,0.109,202,3.3,17.8,10.9,8.5,1.2,3,13.9,11.6,,0.6,1.5,2.1,0.086,,-1.5,1.8,0.3
7,Donaven Dorsey,31,10,473,15.8,0.643,0.638,0.642,0.216,159,1.9,10.4,6.3,5.3,1.2,2.5,10.3,18.2,,1.1,0.6,1.7,0.145,,1.5,-1.8,-0.3
8,Timmy Falls,32,7,634,7.7,0.525,0.488,0.577,0.276,170,1,8.5,4.9,18.5,2.3,0.9,29.8,16.3,,0.1,0.9,0.9,0.058,,-3.2,-0.6,-3.8
9,Mack Anderson,27,0,233,7.5,0.617,0.659,0,0.39,55,5,17,11.2,3.7,0.3,2.5,25.9,14.7,,0.1,0.3,0.4,0.067,,-5,-0.9,-5.9
10,Kelby Kramer,20,2,125,7.7,0.551,0.615,0,0.538,22,7.2,11.5,9.5,5,0.9,6.5,30,9.7,,0,0.2,0.2,0.068,,-4.3,2.8,-1.4
11,Freddy Brown III,14,0,31,17.1,0.612,0.583,0.583,0.333,15,8.3,7.7,8,0,0,0,12.6,26.8,,0.1,0,0.1,0.138,,-0.6,-9.4,-10
12,Peter Jones,7,0,10,3.3,,,,,0,0,36,18.7,0,0,0,,0,,0,0,0,0.067,,-8.6,-1.8,-10.4
13,Ben Carter,10,0,43,-8.1,0.236,0.25,0.125,0.125,5,3,19.5,11.6,7.1,1.4,0,41.5,17.6,,-0.2,0.1,-0.1,-0.114,,-14,-0.3,-14.3
