Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Brandon Whitney,G,34,34,1013,15.9,0.65,0.228,0.427,335.0,2.1,7.0,4.7,15.8,1.3,0.1,9.8,14.5,2.8,0.7,3.5,0.136,1.2,-1.2,0.0,
2.0,Joe Pridgen,F,34,34,941,21.6,0.64,0.076,0.33,391.0,10.0,20.4,15.5,9.4,1.8,2.8,13.6,20.0,2.5,1.3,3.8,0.163,1.3,-0.8,0.6,
3.0,Money Williams,G,34,20,924,16.7,0.535,0.45,0.383,462.0,1.7,13.9,8.2,21.6,2.4,1.0,16.9,29.4,1.1,1.1,2.2,0.095,0.0,-1.0,-1.1,
4.0,Malik Moore,G,29,28,889,16.5,0.599,0.529,0.264,353.0,1.0,11.4,6.5,14.4,1.5,0.4,10.4,20.8,2.0,0.8,2.8,0.126,1.7,-1.4,0.2,
5.0,Kai Johnson,G,34,20,827,19.1,0.592,0.312,0.465,358.0,2.1,13.1,7.9,14.0,3.1,2.4,14.1,23.8,1.6,1.1,2.8,0.134,-0.5,0.0,-0.4,
6.0,Te'Jon Sawyer,F,33,32,781,17.6,0.66,0.246,0.374,292.0,5.4,14.8,10.4,9.9,1.3,2.8,16.4,18.8,1.8,0.8,2.6,0.134,1.0,-0.2,0.8,
7.0,Austin Patterson,G,34,0,666,12.8,0.662,0.733,0.237,172.0,1.2,12.6,7.2,6.4,1.9,2.2,18.0,14.2,0.8,0.7,1.6,0.094,0.9,0.3,1.2,
8.0,Amari Jedkins,F,28,1,256,7.4,0.511,0.323,0.419,46.0,6.8,16.1,11.7,4.3,1.4,3.3,22.8,10.0,0.1,0.3,0.4,0.059,-3.7,0.2,-3.6,
9.0,Jensen Bradtke,F,24,1,254,11.6,0.514,0.662,0.162,77.0,5.2,11.6,8.6,2.7,0.7,2.5,7.0,18.0,0.3,0.2,0.5,0.076,0.2,-1.9,-1.6,
10.0,Zack Davidson,F,15,0,101,15.3,0.618,0.0,0.682,37.0,13.2,17.5,15.5,1.8,1.7,1.0,17.1,18.6,0.2,0.1,0.3,0.123,-4.8,0.5,-4.3,
11.0,Jalen Foy,F,16,0,88,4.5,0.38,0.647,0.176,19.0,9.1,10.7,9.9,7.2,0.0,3.6,17.8,13.6,0.0,0.1,0.0,0.016,-5.4,-1.9,-7.3,
12.0,Jeremiah Dargan,G,12,0,67,21.5,0.496,0.63,0.333,32.0,11.9,3.5,7.5,11.4,5.3,1.6,3.1,25.7,0.2,0.1,0.3,0.15,8.2,2.4,10.6,
13.0,Adam Shoff,G,13,0,17,-22.9,0.15,0.6,0.0,3.0,0.0,6.9,3.7,0.0,0.0,0.0,16.7,37.7,-0.2,0.0,-0.2,-0.393,-14.3,-5.8,-20.1,
,Team Totals,,34,34,6824,,0.598,0.37,0.354,,,,,,,,,,13.1,7.4,20.5,0.12,0.5,-0.7,-0.2,
