Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jubrile Belo,33,32,891,24,0.643,0.596,0.025,0.841,416,9,21.2,15.4,7.2,1,7.5,17.7,23.4,,2.8,1.8,4.5,0.204,,1,1.6,2.6
2,Xavier Bishop,34,34,1159,15.5,0.53,0.484,0.402,0.347,500,1.6,9.8,5.9,24.1,1.5,0,15,23.3,,2.4,1.5,3.9,0.134,,-0.2,-0.9,-1.1
3,Amin Adamu,32,32,877,17.2,0.576,0.549,0.218,0.201,347,3.2,17.5,10.6,12.9,1.2,0.9,13.7,21.8,,1.8,1.3,3.1,0.143,,0.7,0.1,0.8
4,Abdul Mohamed,34,34,898,14.7,0.563,0.52,0.367,0.413,282,6.4,23.3,15.2,10.9,1.9,1.6,20.4,16.8,,1.2,1.7,2.9,0.13,,-0.4,1.4,0.9
5,Raequan Battle,34,0,591,19,0.589,0.542,0.484,0.298,267,5.2,11.7,8.6,9.7,1.7,3,14.3,24.9,,1.5,0.9,2.4,0.162,,2.4,0.4,2.8
6,Tyler Patterson,34,32,775,12.1,0.584,0.572,0.807,0.079,214,1.8,4.7,3.3,5.7,1.2,0.3,6.3,14.8,,1.5,0.8,2.4,0.121,,0.7,-0.5,0.2
7,Great Osobor,34,1,507,20.8,0.686,0.685,0.018,0.73,207,11,22.8,17.2,9.4,2.2,3.5,25.1,20.2,,1.2,1.1,2.3,0.179,,-1.6,1.4,-0.3
8,Nick Gazelas,33,1,462,13.4,0.622,0.562,0.77,0.442,151,0.8,3.5,2.2,6.7,0.7,0.2,6.2,16.2,,1.3,0.5,1.8,0.152,,0.1,-0.4,-0.4
9,Sam Lecholat,31,1,250,10.8,0.659,0.628,0.436,0.436,68,5.1,15.4,10.5,12.6,0.5,1.8,26.5,13.2,,0.4,0.3,0.7,0.116,,-2.8,0.2,-2.6
10,Patrick McMahon,20,1,96,18.2,0.542,0.5,0.25,0.321,34,4,18.3,11.4,12.3,1.8,3.5,3,17.8,,0.3,0.2,0.4,0.183,,-2.5,3.3,0.8
11,Kellen Tynes,34,2,266,7.4,0.397,0.359,0.154,0.41,55,3.3,10.1,6.9,18.6,4.3,1.3,31.1,13,,-0.1,0.5,0.4,0.059,,-5.9,4.2,-1.7
12,Mareng Gatkuoth,5,0,33,26.8,0.471,0.471,0.765,0,20,3.9,14.2,9.2,57.5,1.7,3.4,0,26.4,,0.2,0.1,0.2,0.273,,7.2,-3.5,3.6
13,Carter Ash,2,0,9,17.4,0.75,0.75,0.5,0,3,0,13,6.8,20.4,0,0,0,11.4,,0,0,0,0.213,,,,
14,Borja Fernandez,8,0,33,4.9,0.268,0.286,0.286,0.143,5,11.6,7.1,9.2,0,1.7,3.4,0,11.6,,0,0,0,0.044,,-6,-0.9,-7
15,Isaac Spears,11,0,28,-1.9,0.438,0.417,0.583,0.5,14,4.5,8.3,6.5,27.8,0,0,35,41.9,,-0.1,0,-0.1,-0.134,,-19,-11.4,-30.4
