Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Johni Broome,29,26,742,29.6,0.589,0.576,0,0.372,371,14.7,26.1,20.7,6.7,1.4,8.5,14.1,27.8,,2.3,2,4.3,0.234,,2.9,1.7,4.5
2,DeVon Cooper,30,30,945,15.5,0.558,0.509,0.482,0.385,350,1.4,16.5,9.4,15.5,1.1,1.4,17.3,21.8,,1.6,1.8,3.4,0.146,,0.3,1,1.3
3,Skyelar Potter,29,24,882,15.4,0.593,0.56,0.602,0.299,312,5.8,16.1,11.2,7.5,1.1,0.5,18,20.6,,1.6,1.7,3.3,0.149,,0.3,0.2,0.5
4,Ta'Lon Cooper,30,11,882,12.7,0.514,0.498,0.462,0.283,270,1.3,6.9,4.2,23.7,1.8,2,18.6,17.4,,1.1,1.5,2.7,0.12,,-0.8,1.2,0.3
5,James Baker,30,26,794,12,0.54,0.514,0.262,0.432,237,8.3,11.2,9.8,6.5,0.4,3.7,19.7,17.9,,0.8,1.3,2.2,0.108,,-2.3,0.4,-1.9
6,KJ Hunt,29,23,712,11.4,0.528,0.465,0.308,0.462,225,0.9,9.3,5.3,24.9,1.5,2,27.2,19,,0.4,1.3,1.7,0.095,,-2.4,0.6,-1.9
7,LJ Bryan,29,4,359,12.8,0.581,0.593,0,0.648,86,12.1,13.1,12.6,2.1,1,4.6,22.1,13.1,,0.4,0.7,1.1,0.123,,-2.3,1.6,-0.7
8,Julius Dixon,20,6,201,8.8,0.523,0.522,0.627,0.149,63,4.9,12.8,9.1,1.1,0.6,0.6,18.2,22.6,,0,0.3,0.4,0.072,,-3.3,-0.6,-3.8
9,Jaylen Sebree,24,0,267,9.4,0.435,0.437,0.333,0.238,65,6,13.9,10.2,10.2,3.3,3.6,26.3,18.5,,-0.3,0.7,0.4,0.057,,-3.7,3.3,-0.4
10,Jaden Stanley-Williams,18,0,87,12.4,0.663,0.636,0.091,0.636,20,8.6,7.7,8.1,4.3,0.7,8.2,29.5,12.1,,0.1,0.2,0.3,0.116,,-4.9,3.3,-1.5
11,Marcus Garrett,11,0,95,8.1,0.42,0.333,0.4,0.4,19,1.3,23.6,13,17,2.5,1.2,28.2,13.6,,0,0.2,0.2,0.082,,-6.9,3.1,-3.9
12,Jacob Rice,11,0,16,10.4,0.5,0.5,1,0,4,15.5,7,11.1,11.4,0,0,25,13,,0,0,0,0.093,,0.7,-0.1,0.6
13,Drew Thelwell,16,0,68,4.2,0.406,0.417,0.556,0.056,15,1.8,11.5,6.9,11.3,1.8,0,24.5,18.7,,-0.1,0.1,0,0.014,,-7.9,-1.3,-9.2
