Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Elijah Long,36,35,1239,16.8,0.517,0.466,0.281,0.412,572,1.6,16.1,9,27.4,2.7,0.2,19.1,27.3,,1.1,2.2,3.3,0.106,,-0.4,1.1,0.7
2,Junior Robinson,36,34,1201,14.9,0.574,0.516,0.466,0.36,495,0.8,4.9,2.9,17.9,1.6,0.3,17.4,23.4,,1.9,1.3,3.2,0.105,,0.9,-2.2,-1.2
3,Chris Wray,36,33,1061,16.6,0.533,0.58,0.01,0.482,295,10.3,12.8,11.5,10.2,2.7,5,17.4,14.2,,1.2,2,3.1,0.119,,-0.7,5.1,4.4
4,Miles Wilson,35,23,1009,14.4,0.554,0.514,0.331,0.363,372,2.9,13.1,8.1,5.3,1.7,1.7,16,23,,0.9,1.5,2.4,0.094,,-1.9,-0.4,-2.3
5,Greg Alexander,35,13,907,10.6,0.545,0.54,0.848,0.097,231,1.6,9.1,5.4,2.2,1.1,1.2,7.5,15.5,,0.9,1.1,2,0.087,,0.2,-1.4,-1.2
6,Mawdo Sallah,36,35,727,14.4,0.525,0.527,0,0.239,219,9.2,21.5,15.4,2.9,1,5.5,16,18,,0.5,1.4,1.9,0.103,,-4.8,1.7,-3.1
7,Ryan Gomes,32,1,210,12.7,0.596,0.611,0.019,0.185,63,8.1,10,9.1,1.1,0.6,3.3,14.5,17.2,,0.3,0.3,0.5,0.102,,-3.5,-1.5,-5
8,Will Miller,31,3,402,6,0.432,0.423,0.964,0.09,90,0.9,11,6.1,3.8,1,0,8.7,16.4,,-0.1,0.5,0.4,0.035,,-2.7,-2.7,-5.3
9,Khalid Nwandu,33,2,255,5.5,0.505,0.462,0,0.538,47,3.3,12.3,7.9,17.5,2.3,1.1,41.3,11.5,,-0.1,0.4,0.3,0.042,,-6,1.8,-4.2
10,Charles Glover,27,1,125,3.6,0.417,0.368,0.211,0.421,21,1.9,12.1,7.1,8.7,1.9,0,23.5,12.5,,-0.1,0.2,0.1,0.027,,-6.5,0.2,-6.2
11,Bryce Thurston,7,0,17,10.8,0.5,0.5,0.8,0,5,0,13.7,7,24,0,0,0,15.4,,0,0,0.1,0.132,,1.1,-3.7,-2.6
12,Sean Gurdon,6,0,9,4.5,0,0,0,0,1,13.4,13,13.2,18.3,0,10.8,50,11.7,,0,0,0,-0.051,,-10.9,6.7,-4.2
13,Randy Miller Jr.,12,0,63,2.9,0.578,0.5,0.636,0.545,15,0,3.7,1.9,5.8,1.9,0,32,18.2,,-0.1,0.1,0,-0.001,,-5.9,-2.1,-8
