Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jonathan Stark,31,31,1126,24.6,0.619,0.574,0.556,0.299,628,1.3,7.1,4.4,22.1,2.2,0.6,12.2,28.1,,4.6,1.8,6.4,0.228,,6.6,-1.2,5.4
2,Temetrius Morant,31,31,1052,21.4,0.569,0.505,0.307,0.479,490,6.3,15.9,11.4,33.6,1.6,1,18.1,20.3,,3.5,2,5.4,0.207,,3.6,1.9,5.5
3,Terrell Miller Jr.,31,31,943,21.5,0.603,0.589,0.483,0.209,402,4,26.6,16,10.3,1.5,1.7,12.5,23.3,,2.4,2.2,4.6,0.195,,2.1,1.2,3.2
4,Leroy Buchanan,31,29,847,16.4,0.577,0.559,0.288,0.243,266,4.9,11.8,8.6,7.1,3.5,1.5,14.2,17.4,,1.4,1.8,3.2,0.149,,0.7,2.8,3.5
5,Jalen Dupree,29,17,508,17.8,0.605,0.566,0,0.848,175,14,15.4,14.7,1.4,0.8,4.9,14.2,16.2,,1.3,1,2.2,0.175,,-0.7,0.7,0
6,Byron Hawkins,29,2,549,14.4,0.58,0.553,0.566,0.368,192,3.4,4.4,3.9,9.4,2,0,11.8,18.8,,1.2,0.8,2,0.144,,1.8,-1.4,0.5
7,Anthony Smith,31,0,447,13.1,0.612,0.543,0.034,1.276,130,12.5,14.8,13.7,3.3,2.5,4.4,28.4,14.8,,0.5,1,1.5,0.136,,-1.6,3.5,1.8
8,Brion Sanchious,31,14,541,9.5,0.568,0.614,0,0.357,96,7.4,11.4,9.5,2.4,2,2.4,20.4,9.7,,0.3,1,1.3,0.099,,-1.7,2.6,0.9
9,Brion Whitley,14,0,46,17.4,0.602,0.607,0.714,0.643,20,5.4,9.6,7.6,8.2,1.3,0,14.1,23.5,,0.1,0.1,0.2,0.155,,2.3,-3.2,-0.9
10,Devin Gilmore,12,0,29,16.4,0.503,0.571,0,0.286,7,8.6,38,24.2,0,2,3.7,11.2,15.7,,0,0.1,0.1,0.138,,-7.7,-2,-9.7
11,Jachai Taylor,15,0,86,1.7,0.376,0.395,0.579,0.105,13,1.4,11.5,6.8,0,0.7,1.3,9.1,13,,-0.1,0.1,0.1,0.032,,-6.2,-2.4,-8.6
12,Zach Hopewell,12,0,26,8,0.414,0.444,0.556,1,12,4.8,4.2,4.5,27,0,0,13.1,29.9,,0,0,0,0.058,,-2.2,-5.5,-7.7
