Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,K.J. Williams,32,32,915,15,27.7,0.544,12.8,21,0.61,2.2,6.7,0.337,5,7.2,0.696,17.6,1.4,3.1,1.3,2.9,4.4,37.3,,124.3,87.1
2,Tevin Brown,32,32,1121,9.2,21.3,0.434,4,7.9,0.51,5.2,13.4,0.389,4.5,6,0.763,9.2,5.1,2.4,1,3.1,2.5,28.3,,121.9,91.8
3,Justice Hill,32,32,983,8.9,20.9,0.429,5.5,11.1,0.492,3.5,9.7,0.356,3.8,5.1,0.744,4.2,9.5,2,0.1,3.4,2.5,25.1,,118.9,97.1
4,Dionte Bostick,15,0,71,9.1,19.8,0.458,7.4,13.2,0.563,1.6,6.6,0.25,4.9,6.6,0.75,4.9,6.6,2.5,0,3.3,6.6,24.7,,115.9,96
5,Trae Hannibal,32,0,691,8.5,16.3,0.521,8.1,15.2,0.536,0.3,1.1,0.308,7,9.9,0.701,13.5,7,3.1,0.3,5.2,3.8,24.2,,112.6,89.1
6,Jackson Sivills,15,0,63,7.4,14.9,0.5,3.7,6.5,0.571,3.7,8.4,0.444,4.6,7.4,0.625,8.4,0.9,2.8,0.9,2.8,1.9,23.2,,123,93.6
7,Nicholas McMullen,32,0,326,8.1,13.7,0.592,8.1,13.7,0.592,0,0,,3.1,7.2,0.425,17.6,1.8,0.5,2.3,3.6,9.7,19.2,,113.2,93.2
8,Jordan Skipper-Brown,23,0,290,7.5,12.1,0.617,7.1,11.3,0.625,0.4,0.8,0.5,2.8,6.5,0.438,10.9,2.4,1.6,3.2,4.4,9.9,18.2,,102.9,90.6
9,Rod Thomas,15,0,45,5.2,24.7,0.211,1.3,5.2,0.25,3.9,19.5,0.2,2.6,2.6,1,13,2.6,0,0,6.5,6.5,16.9,,69.1,96.4
10,DaQuan Smith,31,0,384,5.6,14.5,0.389,2.3,4.3,0.536,3.4,10.2,0.328,2,2.4,0.813,5.9,1.1,1.8,0.9,2.4,5.6,16.6,,106.6,95.8
11,DJ Burns,32,32,823,5.3,9,0.583,5.3,9,0.587,0,0.1,0,3,4.2,0.712,14.9,2.1,2.9,1.1,2.3,5.6,13.5,,128.7,90.6
12,Carter Collins,32,32,688,4.3,12,0.362,2,4.4,0.442,2.4,7.6,0.315,1,1.2,0.857,4.8,3.4,1.7,0.3,1.7,3.7,12.1,,108.3,97.5
