Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Brice Williams,33,33,977,18.7,0.584,0.523,0.407,0.427,419,3.6,15.6,10,15.6,2.1,2.3,14,22.3,,2.2,1.8,4,0.165,,3.4,3.1,6.5
2,Juwan Gary,27,19,733,21.5,0.571,0.55,0.354,0.321,307,9.8,14.5,12.3,8.7,2.2,3.2,6.4,20.5,,2.1,1.4,3.4,0.188,,5,2.7,7.7
3,Rienk Mast,31,31,922,17.9,0.525,0.493,0.355,0.195,410,7.6,19.2,13.8,20,0.8,1.9,13.2,23.5,,1.8,1.6,3.4,0.146,,3.8,2,5.7
4,Keisei Tominaga,31,31,807,20.6,0.604,0.571,0.552,0.225,389,1.2,7.9,4.8,11.8,2.1,0,8.6,26.4,,2.3,1.1,3.4,0.168,,5.5,1.7,7.2
5,Josiah Allick,32,26,754,16.1,0.602,0.579,0.157,0.729,247,9.4,14.2,12,9.7,1.5,1.8,14.9,14.9,,1.6,1.2,2.9,0.152,,1.9,2.3,4.1
6,C.J. Wilcher,32,2,479.579,15.2,0.612,0.581,0.66,0.173,218,2.4,6.4,4.6,9.4,1.6,1.1,13.4,21,,1.1,0.7,1.8,0.125,,3.2,1.3,4.5
7,Sam Hoiberg,33,0,658,10.1,0.5,0.459,0.495,0.392,142,3.4,12,8,14.8,2.7,0.5,17.3,10.7,,0.6,1.2,1.7,0.106,,-1.4,4.4,3
8,Jamarques Lawrence,33,23,777,10.3,0.543,0.516,0.521,0.232,240,1.3,12.5,7.3,19.3,2,0.1,23.8,18.1,,0.3,1.2,1.6,0.08,,-1.5,2.2,0.7
9,Eli Rice,17,0,-171,16.6,0.58,0.522,0.587,0.696,64,2.7,13.5,8.5,6.4,1,2.6,6.1,19.4,,0.4,0.3,0.7,0.162,,2.4,1.6,4.1
10,Matar Diop,18,0,70,10.1,0.492,0.542,0.167,0.75,18,6.7,17.2,12.3,12.4,2.5,4.8,26.9,16.2,,0,0.2,0.1,0.074,,-3.6,3.5,0
11,Jeff Grace,15,0,21,12.8,0.558,0.667,0,1.667,7,11.1,4.8,7.7,16.8,0,0,15.7,15.4,,0,0,0.1,0.115,,-1.6,-0.2,-1.8
12,Cale Jacobsen,19,0,53,9.4,0.545,0.55,0.3,0.6,14,0,5.7,3,16.6,1.1,0,13.5,14.2,,0.1,0.1,0.1,0.09,,-3.3,1.3,-2
13,Henry Burt,7,0,10,3.8,0.339,0.5,0.5,1,2,0,30,16.1,0,0,0,0,15,,0,0,0,0.018,,-7.3,0,-7.3
14,Jarron Coleman,12,0,144,4,0.352,0.306,0.611,0.306,42,0.8,13.2,7.5,31.2,1.2,0.8,29.2,20.6,,-0.2,0.2,0,-0.01,,-6.2,0.3,-5.9
