Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Marquel Sutton,F,34,34,1096,22.6,0.562,0.202,0.461,594.0,5.7,23.2,14.5,8.0,1.5,1.1,9.7,29.5,2.9,1.2,4.1,0.151,2.2,-1.6,0.6,
2.0,JJ White,G,34,24,923,21.3,0.637,0.477,0.381,472.0,2.2,9.1,5.7,28.6,1.6,0.0,14.3,23.3,3.3,0.6,3.9,0.169,4.3,-1.1,3.2,
3.0,Tony Osburn,G,33,33,894,18.5,0.619,0.629,0.311,361.0,2.2,12.3,7.3,9.6,2.1,0.1,7.9,19.9,2.6,0.8,3.3,0.15,3.1,-0.1,3.0,
4.0,Kamryn Thomas,F,34,29,826,11.8,0.563,0.517,0.236,222.0,4.6,13.8,9.2,8.9,1.4,2.6,14.6,13.8,1.0,0.8,1.8,0.086,-0.3,-0.1,-0.4,
5.0,Ja'Sean Glover,G,34,6,780,14.6,0.574,0.419,0.305,274.0,4.7,9.6,7.1,14.0,2.3,2.2,16.8,18.1,1.2,0.7,1.9,0.1,0.1,0.0,0.2,
6.0,Lance Waddles,G,34,10,713,14.9,0.499,0.493,0.283,310.0,4.5,17.5,11.0,16.6,1.3,0.9,11.2,24.6,1.0,0.7,1.6,0.092,0.2,-1.5,-1.3,
7.0,Joshua Streit,F,34,1,653,10.4,0.543,0.0,0.39,122.0,10.6,10.9,10.8,9.3,1.7,3.3,20.5,6.8,0.8,0.6,1.4,0.086,-1.5,0.9,-0.6,
8.0,Isaac Ondekane,F,34,33,558,12.0,0.581,0.0,0.583,180.0,9.3,16.3,12.8,4.9,1.2,2.9,22.3,17.8,0.4,0.6,1.0,0.071,-4.2,-0.8,-4.9,
9.0,Grant Stubblefield,G,25,0,160,8.1,0.504,0.455,0.364,40.0,3.7,12.4,8.1,7.3,4.0,1.6,25.1,16.3,-0.1,0.2,0.2,0.041,-8.7,0.4,-8.3,
10.0,Khamani Cooper,G,17,0,116,4.7,0.434,0.821,0.321,27.0,1.0,13.1,7.1,7.1,1.5,1.1,13.4,16.2,0.0,0.1,0.1,0.023,-5.0,-0.7,-5.7,
11.0,Pablo Soumare,C,14,0,53,-4.9,0.349,0.0,0.364,10.0,6.7,4.4,5.5,0.0,2.2,4.7,35.2,18.9,-0.2,0.1,-0.1,-0.102,-18.6,-6.0,-24.6,
12.0,Sebastian Perry,G,8,0,15,7.6,0.377,0.429,0.286,5.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,26.7,0.0,0.0,0.0,-0.027,-7.2,-5.2,-12.4,
13.0,Lincoln Palbicki,C,7,0,12,20.6,0.5,0.0,0.0,7.0,29.4,9.7,19.5,19.4,0.0,0.0,14.3,29.4,0.0,0.0,0.0,0.115,1.7,-2.2,-0.4,
,Team Totals,,34,34,6799,,0.571,0.39,0.366,,,,,,,,,,12.9,6.3,19.2,0.113,0.4,-0.6,-0.2,
