Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Caleb Martin,33,32,1123,23.1,0.567,0.529,0.651,0.402,593,2.6,13.5,8.2,16.6,2.3,2.6,9.2,27.3,,3.5,2.4,5.9,0.209,,6.3,2.5,8.8
2,Cody Martin,33,33,1131,18.7,0.585,0.554,0.314,0.321,441,3.1,11,7.2,26.4,2.1,2.3,15.8,17.2,,2.9,2.2,5.2,0.183,,3.7,3.7,7.4
Q,Jordan Caroline,32,32,1133,19.5,0.543,0.514,0.291,0.481,545,7.6,22,15,10.8,1,0.9,13.4,25.9,,2.3,2.3,4.7,0.165,,1.2,1.8,3
4,Tre'Shawn Thurman,33,28,860,18.6,0.588,0.548,0.35,0.34,293,7.3,16.7,12.1,11.6,2.6,3.2,11.8,15.2,,2.1,2,4.1,0.191,,3.3,5.5,8.8
5,Jazz Johnson,32,1,913,16.3,0.673,0.639,0.674,0.335,312,0.9,5.8,3.4,9.3,1.2,0.2,8.9,15.9,,2.6,1.3,4,0.174,,5.4,0.3,5.7
6,Trey Porter,33,33,577,19.9,0.627,0.611,0.05,0.807,234,8.9,21,15.1,4.8,0.8,5.3,14.9,19.6,,1.5,1.3,2.8,0.194,,0.2,3.4,3.6
7,Corey Henson,30,5,388,8.6,0.556,0.515,0.735,0.206,83,1.5,6.1,3.8,9.2,2.2,0,15.8,11.3,,0.4,0.7,1,0.106,,0.8,1.6,2.5
8,Jordan Brown,32,1,330,13.6,0.531,0.506,0.013,0.405,101,5.5,17.6,11.7,8.1,1.7,5.5,20.3,17.8,,0.2,0.8,0.9,0.114,,-3.3,5.2,1.8
9,Zach Wurm,2,0,3,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.038,,-3.4,2.6,-0.8
10,David Cunningham,13,0,16,-10.1,0,0,0.5,0,0,0,26.8,13.8,0,3.5,0,20,15.5,,-0.1,0,-0.1,-0.127,,-15.7,0.7,-15.1
11,Nisre Zouzoua,20,0,126,1.1,0.255,0.25,0.58,0.12,32,1.8,15.3,8.8,15.9,1.3,1.8,8.6,22.8,,-0.3,0.2,-0.1,-0.026,,-6.9,1,-5.9
