Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,JT Toppin,35,34,924,27.8,0.643,0.649,0.102,0.267,418,14.3,22.4,18.3,4,2.2,7.6,8.6,19,,3.3,2.2,5.5,0.238,,6,3.3,9.3
2,Donovan Dent,34,34,1062,20.7,0.569,0.544,0.109,0.351,511,1.2,7.5,4.3,31.3,2.8,2.4,15.2,22.3,,2.6,1.8,4.5,0.168,,3.9,3.1,7
3,Jaelen House,30,30,880,20.6,0.51,0.448,0.426,0.314,469,2.3,11,6.6,20.8,4.4,0.6,9.9,27.9,,2.1,1.9,3.9,0.178,,3.1,4.5,7.6
4,Nelly Junior Joseph,35,35,911,18.7,0.549,0.55,0,0.545,325,11.5,21.7,16.5,6.4,2.3,5.8,15.7,17.1,,1.4,2.1,3.5,0.154,,0.8,3,3.8
5,Mustapha Amzil,34,2,644,13.7,0.532,0.481,0.503,0.358,223,5.7,14,9.8,5.7,1.6,1.5,9.9,17.7,,1.1,1.1,2.2,0.136,,0.6,1.9,2.5
6,Jamal Mashburn,27,27,801,12.7,0.489,0.426,0.348,0.33,350,1,6.9,3.9,8.7,0.7,0.4,8.1,25.4,,1.1,0.9,2,0.102,,1.1,-0.1,1.1
7,Tru Washington,34,1,601,16.1,0.505,0.477,0.342,0.296,223,4.7,14.7,9.6,11.8,4.3,1.4,13.5,20.2,,0.7,1.4,2,0.134,,0.2,4.5,4.7
8,Jemarl Baker,34,12,604,9.9,0.56,0.553,0.809,0.076,140,0.5,8.8,4.6,9,1.1,0.9,6.2,11.2,,0.9,0.8,1.7,0.113,,0.9,2.2,3.1
9,Isaac Mushila,25,0,220,11.6,0.429,0.329,0.316,0.737,58,11.4,21.8,16.5,7.2,1.8,1,14.9,12.9,,0.2,0.4,0.6,0.112,,-0.9,1.4,0.5
10,Quinton Webb,18,0,169,10.2,0.56,0.578,0.531,0.125,34,4.3,12.9,8.5,0.9,3.6,1.9,15,11.1,,0.1,0.4,0.5,0.108,,-2.2,4.3,2
11,Braden Appelhans,15,0,93,13.8,0.557,0.529,0.735,0.118,35,1.1,9.4,5.2,8.8,2.4,1.2,12.2,20.6,,0.1,0.2,0.3,0.129,,-3.6,0.5,-3.1
12,Sebastian Forsling,21,0,93,12.5,0.655,0.692,0.077,0.615,26,7.9,15.2,11.5,13.2,0,1.2,15.2,10,,0.2,0.1,0.3,0.144,,-0.2,2.8,2.6
