Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Donovan Dent,F,33,33,1159,23.3,0.577,0.134,0.452,695.0,1.0,6.3,3.6,35.8,2.3,2.7,14.0,27.8,3.7,2.1,5.8,0.199,6.2,2.6,8.8,
2.0,Nelly Junior Joseph,F,33,33,1032,22.1,0.579,0.019,0.531,458.0,11.3,28.0,19.4,7.1,2.3,5.5,15.8,21.5,2.0,2.8,4.7,0.184,2.7,3.4,6.1,
3.0,Tru Washington,G,32,31,890,16.7,0.516,0.393,0.31,348.0,4.7,10.7,7.6,12.3,4.1,1.3,10.3,20.5,1.3,2.1,3.3,0.15,1.4,4.5,5.9,
4.0,Mustapha Amzil,F,30,30,852,14.2,0.492,0.469,0.386,334.0,6.8,13.8,10.2,8.3,1.6,2.8,10.4,21.1,1.0,1.7,2.7,0.127,1.1,1.8,2.9,
5.0,Filip Borvicanin,F,33,27,740,10.6,0.511,0.455,0.275,198.0,5.0,17.1,10.9,8.4,1.7,1.2,14.9,14.1,0.5,1.5,2.0,0.11,-0.6,3.0,2.4,
6.0,C.J. Noland,G,32,7,665,13.6,0.513,0.48,0.262,239.0,3.3,9.7,6.4,9.8,3.0,1.5,9.5,19.4,0.8,1.4,2.2,0.134,-0.5,3.1,2.6,
7.0,Jovan Milicevic,F,32,3,389,13.7,0.622,0.613,0.204,115.0,4.6,14.0,9.2,6.4,1.5,1.4,10.5,13.8,0.7,0.7,1.5,0.15,0.9,2.0,2.9,
8.0,Braden Appelhans,G,29,1,304,12.6,0.599,0.81,0.165,90.0,1.7,6.2,3.9,7.5,1.6,1.8,5.5,13.9,0.6,0.5,1.1,0.148,1.0,2.1,3.1,
9.0,Atiki Ally Atiki,F,30,0,245,16.5,0.56,0.0,0.444,68.0,11.2,21.8,16.3,6.0,2.2,11.4,18.0,12.7,0.3,0.7,1.0,0.159,-2.8,5.4,2.6,
10.0,Kayde Dotson,G,31,0,213,12.2,0.555,0.6,0.267,74.0,0.5,5.7,3.0,18.7,3.3,1.1,18.2,18.2,0.2,0.4,0.6,0.121,-1.7,3.4,1.7,
11.0,Ibrahima Sacko,F,19,0,110,8.1,0.563,0.211,0.158,21.0,3.8,18.2,10.8,2.9,2.5,5.1,22.7,11.3,0.0,0.3,0.3,0.098,-6.7,3.5,-3.2,
12.0,Quinton Webb,G,13,0,52,3.5,0.339,0.714,1.0,9.0,6.1,8.5,7.3,5.6,3.2,0.0,22.5,12.0,-0.1,0.1,0.0,0.033,-8.5,1.3,-7.1,
,Team Totals,,33,33,6651,,0.546,0.323,0.372,,,,,,,,,,11.1,14.2,25.3,0.152,1.5,3.0,4.5,
