Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Terrell Brown,33,16,796,17.8,0.605,0.554,0.614,0.494,333,2.8,10.3,6.4,9.5,1.4,0.2,12.8,21.8,,2.4,1.4,3.8,0.189,,4.2,-0.4,3.8
2,Eli Chuha,29,22,606,27,0.674,0.66,0.055,0.607,279,10.9,28.1,19.1,14.9,1.2,2.5,16,20.3,,2.4,1.4,3.7,0.247,,4.3,3.6,7.9
3,A.J. Harris,32,30,812,16,0.531,0.515,0.509,0.171,321,2.1,6.7,4.3,24.4,2.2,0.2,14.4,20.6,,1.8,1.5,3.3,0.162,,2.8,0,2.8
4,Ivan Aurrecoechea,31,12,518,27.2,0.602,0.578,0.005,0.417,274,14,22.8,18.2,9.3,1.1,1.2,12.8,26.7,,1.9,1.1,3,0.23,,2.5,0.4,2.9
5,Johnny McCants,30,3,529,19.7,0.658,0.697,0.26,0.615,177,12.4,19.7,15.9,6.8,1.2,5.4,19.2,15.5,,1.3,1.2,2.4,0.185,,2.6,4.3,6.9
6,Trevelin Queen,24,0,351,28.7,0.575,0.572,0.497,0.166,178,10.2,12.7,11.4,21.2,3.8,6.7,10.3,24.5,,1.4,0.9,2.3,0.262,,7.4,6.1,13.5
7,Clayton Henry,33,24,518,16,0.549,0.54,0.761,0.129,180,7.6,19.2,13.2,8.3,0.7,0.5,9.9,18.3,,1.2,0.9,2.2,0.167,,3.2,-0.2,3
8,JoJo Zamora,34,16,531,16.9,0.543,0.523,0.553,0.189,230,3.9,8.9,6.3,11.7,1.3,0.9,10.9,24.6,,1.3,0.9,2.2,0.166,,2.6,-1,1.6
9,C.J. Bobbitt,34,29,506,12.6,0.541,0.527,0.62,0.295,159,6.6,14.2,10.3,9.9,1.2,1,15,16.9,,0.9,0.9,1.8,0.141,,1.7,1,2.7
10,Shunn Buchanan,34,5,564,6.6,0.395,0.3,0.5,0.6,115,1,11.2,5.9,23.2,2.2,0.4,30.2,11.3,,0.1,1.1,1.2,0.082,,-2.6,2,-0.6
11,Jabari Rice,31,5,338,13.5,0.434,0.368,0.537,0.547,116,8.2,16.2,12,11.9,2.8,1.8,11.1,19.6,,0.4,0.8,1.2,0.143,,0.4,2.6,3
12,Keyon Jones,29,6,317,11.4,0.491,0.475,0.716,0.198,92,6.2,19.2,12.4,11.1,1.7,1.6,16.1,16.4,,0.4,0.7,1,0.13,,0.5,2.1,2.6
13,Mohamed Thiam,25,2,289,16.1,0.493,0.476,0.635,0.173,110,14,26.2,19.9,3.8,1.8,2.1,16.4,22.9,,0.3,0.7,1,0.141,,-0.4,0,-0.4
14,Robert Brown,8,0,51,24.8,0.747,0.714,0,0.714,22,6.8,7.3,7,0,1.1,2.4,9.6,20,,0.2,0.1,0.3,0.252,,2.8,-2.2,0.6
15,Berrick JeanLouis,15,0,92,11.5,0.463,0.456,0.559,0.235,34,6.3,10.8,8.4,10.2,0.6,1.3,11.7,22.9,,0.1,0.2,0.2,0.104,,-0.6,-1.2,-1.8
