Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM▼
1,Daryl Anderson,21,0,306,16,0.731,0.712,0.864,0.273,91,2.2,10.6,6.5,4.3,1.6,0.8,12.9,13.6,,0.8,0.5,1.3,0.17,,2.6,0.5,3.1
2,Kashaun Hicks,21,6,413,16.2,0.586,0.552,0.688,0.368,153,4.1,16.8,10.5,4.7,1.6,2.2,13,19.8,,0.9,0.8,1.6,0.158,,1.4,0.3,1.6
3,DeVante Carter,23,23,754,18.9,0.491,0.447,0.142,0.413,372,3.4,14.1,8.8,26.4,1.9,1.9,13.2,26.9,,1.4,1.3,2.8,0.147,,1.4,-0.1,1.4
4,Joe Bryant Jr,19,14,519,16.9,0.545,0.494,0.489,0.292,210,2.2,15,8.7,14.2,2.5,0.5,13.6,22,,1,1,2,0.153,,1.1,0.2,1.3
5,Kyonze Chavis,22,18,581,13.6,0.535,0.522,0.372,0.307,175,4.4,12.3,8.4,13.6,2.1,1.6,16.5,15.7,,0.8,1,1.8,0.122,,-1,0.4,-0.6
6,Jalen Hawkins,18,0,304,17.8,0.562,0.531,0.441,0.386,154,2.6,14.3,8.5,15.9,2,0.8,18.9,29.6,,0.5,0.5,1,0.132,,0.3,-1,-0.7
7,Nyzaiah Chambers,19,0,153,14.4,0.606,0.571,0,0.75,49,11,11.3,11.1,4.9,2.2,2.5,22.5,15.5,,0.3,0.3,0.5,0.138,,-2.6,0,-2.6
8,Andre Bottoms,9,0,30,10.1,0.566,0.571,0.143,0.286,10,3.7,14.5,9.2,19.8,1.9,0,33.5,19.3,,0,0.1,0,0.059,,-3.8,1.1,-2.7
9,Chris Ford,22,3,274,13.6,0.585,0.551,0,0.612,73,9,12.7,10.8,0,0.2,9.4,15.9,13.3,,0.4,0.5,0.9,0.129,,-3.3,-0.5,-3.7
10,Mustafa Lawrence,20,9,303,12.1,0.492,0.438,0.615,0.323,111,1.1,7.2,4.2,19.3,2.8,0,14.6,20.8,,0.4,0.5,0.9,0.114,,-3.5,-0.2,-3.7
11,Efstratios Kalogerias,15,5,119,7.7,0.465,0.471,0,0.294,23,6.6,11.8,9.2,10.3,0.9,2.2,26.5,10.8,,0,0.2,0.2,0.062,,-3.4,-0.3,-3.7
12,J.J. Matthews,22,18,419,18.4,0.569,0.524,0,0.611,183,12,15.8,13.9,4,0.8,4.9,16,22.4,,0.9,0.8,1.7,0.162,,-2.9,-1.2,-4.1
13,Tyrese Jenkins,21,13,317,8.3,0.476,0.44,0.587,0.253,81,3.5,9.2,6.4,8.4,1.9,0.4,14.3,15,,0.2,0.5,0.7,0.088,,-3.6,-0.6,-4.3
14,Yoro Sidibe,13,6,133,-1.5,0.281,0.283,0.217,0.174,16,3.4,17.9,10.8,3.8,0.4,2.9,28.7,12.7,,-0.3,0.2,-0.1,-0.024,,-9.9,-0.9,-10.9
