Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Brian Moore Jr.,G,34,34,1076,25.6,0.626,0.168,0.428,584.0,2.4,11.3,7.2,20.3,2.5,1.0,9.6,26.1,4.4,1.8,6.1,0.227,4.3,-0.2,4.1,
2.0,Christian Ings,G,32,31,877,16.3,0.592,0.266,0.438,380.0,1.9,7.2,4.7,21.9,1.6,0.3,18.7,23.0,1.7,1.1,2.8,0.126,1.2,-2.0,-0.8,
3.0,Jaylani Darden,G,32,27,781,13.7,0.525,0.318,0.288,234.0,5.7,16.8,11.6,16.9,3.3,1.1,20.2,15.8,0.8,1.6,2.4,0.122,-2.0,1.7,-0.4,
4.0,Kuluel Mading,F,34,27,759,14.7,0.599,0.163,0.371,240.0,8.9,13.1,11.2,4.8,0.3,6.9,17.0,16.9,1.0,1.2,2.2,0.116,-2.2,-0.8,-3.0,
5.0,Jalen Myers,F,30,28,757,19.1,0.627,0.281,0.438,302.0,7.5,17.5,12.9,7.6,1.8,1.9,13.0,19.6,2.0,1.4,3.4,0.18,1.7,-0.4,1.3,
6.0,Terrance Jones,G,33,8,630,13.9,0.526,0.512,0.302,206.0,5.4,12.1,9.0,9.1,2.6,0.6,12.1,18.0,0.9,1.1,2.0,0.125,-0.4,-0.1,-0.5,
7.0,Sin'Cere McMahon,G,33,1,575,9.9,0.521,0.758,0.362,176.0,0.9,5.1,3.1,11.4,1.6,0.0,12.5,17.6,0.7,0.7,1.4,0.094,-2.8,-2.1,-4.9,
8.0,Tyrel Bladen,F,30,11,519,9.4,0.553,0.0,0.414,133.0,8.0,15.1,11.8,4.6,0.8,2.8,21.3,14.7,0.2,0.8,1.1,0.082,-4.8,-0.8,-5.6,
9.0,Chris Fields Jr.,F,23,2,403,19.2,0.513,0.1,0.467,195.0,11.9,17.2,14.8,14.0,3.2,3.6,16.4,27.6,0.5,0.9,1.4,0.137,-1.6,-0.1,-1.7,
10.0,Dramane Camara,G,24,0,209,8.1,0.436,0.796,0.13,49.0,3.1,15.6,9.8,6.3,3.1,0.0,12.2,15.9,0.0,0.4,0.4,0.08,-5.4,-1.0,-6.4,
11.0,Jordan Leaks,G,21,1,152,14.5,0.768,0.524,0.571,40.0,0.9,8.9,5.1,13.1,3.5,0.8,25.2,11.9,0.3,0.3,0.5,0.142,-2.8,0.0,-2.8,
12.0,Rodney Baines,F,16,0,112,20.4,0.59,0.0,0.222,44.0,11.6,23.0,17.7,3.5,1.6,2.2,7.0,19.4,0.3,0.2,0.5,0.192,-2.5,-2.1,-4.5,
,Team Totals,,34,34,6850,,0.577,0.288,0.388,,,,,,,,,,12.8,11.3,24.1,0.141,-0.5,-0.6,-1.0,
