Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Brice Johnson,40,39,1121,33,0.653,0.617,0,0.417,613,11.7,28.5,20.4,9.7,2.2,5.5,11.8,25,,5,2.6,7.6,0.272,,7.3,6.2,13.4
2,Joel Berry,40,39,1228,19.3,0.576,0.533,0.45,0.264,501,2.3,9.3,6,19.4,2.7,0.8,12,19.5,,3.6,1.7,5.3,0.172,,6.8,3.1,9.9
3,Justin Jackson,40,38,1135,18.9,0.534,0.515,0.29,0.238,485,7.2,7.9,7.6,16.3,1.3,1.6,8.5,21,,3.2,1.2,4.4,0.156,,5.9,2.3,8.2
4,Marcus Paige,34,34,1075,17.4,0.542,0.503,0.595,0.278,418,1.6,7,4.4,18.4,2.1,1.5,9.5,19.4,,2.8,1.3,4.1,0.154,,6.4,2.3,8.6
5,Isaiah Hicks,40,3,723,23.8,0.656,0.619,0,0.552,333,12.5,15.6,14.1,6.3,1.6,3.3,14.7,21,,2.6,1.2,3.7,0.205,,5.6,3.3,9
6,Kennedy Meeks,33,28,679,23.2,0.583,0.563,0,0.263,296,13.5,18.1,15.9,8.6,2.3,5.2,14.7,21.9,,1.7,1.3,3,0.175,,3.8,5.7,9.5
7,Theo Pinson,40,7,747,14.1,0.517,0.48,0.413,0.513,234,6.6,11.9,9.4,22.2,1.8,1.4,21.6,14.4,,1.2,1,2.2,0.117,,3.8,3.7,7.5
8,Nate Britt,39,0,600,13.6,0.501,0.459,0.423,0.255,216,2.5,7.8,5.2,17.7,2.4,0,14.1,19.5,,1,0.7,1.7,0.114,,3,1.5,4.5
9,Joel James,37,10,289,10.4,0.466,0.453,0,0.307,83,13.9,18,16,0,0.2,2.5,14.9,16.5,,0.2,0.4,0.6,0.083,,-2.5,-1.5,-4.1
10,Luke Maye,33,0,178,10.6,0.42,0.415,0.171,0.341,50,16.1,17.9,17,5.8,1,1.8,17.3,15.3,,0.1,0.3,0.4,0.084,,0.4,2.4,2.9
11,Kenny Williams,29,0,122,8.4,0.463,0.386,0.591,0.273,25,3.8,6.1,5,7,1.4,0,3.9,10,,0.2,0.1,0.3,0.093,,2.5,1.4,4
12,Kanler Coker,13,0,16,-0.1,0.25,0.25,0.5,0,3,7.2,39.8,24.1,8.8,0,0,33.3,17.7,,-0.1,0,0,-0.043,,-8.1,2,-6.1
13,Justin Coleman,14,1,17,-2.3,0.303,0.25,0.5,0.5,3,0,6.2,3.2,8.2,0,0,16.8,16.6,,0,0,0,-0.039,,-4.6,-1,-5.6
14,Stilman White,18,0,30,-3,0.168,0.125,0.25,0.25,6,15.3,7.1,11,9,0,0,18.3,17.3,,-0.1,0,0,-0.058,,-4.7,0.2,-4.5
15,Spenser Dalton,18,1,21,-12.7,0.111,0.111,0.778,0,2,5.5,5.1,5.2,0,0,0,10,22.5,,-0.1,0,-0.1,-0.175,,-10,-4.5,-14.5
16,Toby Egbuna,16,0,19,-15.1,0,0,0.429,0,0,0,11.2,5.8,0,3,0,12.5,19.9,,-0.1,0,-0.1,-0.203,,-14.5,-0.1,-14.6
