Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,RJ Davis,G,35,35,1203,18.3,0.553,0.486,0.335,584.0,1.2,10.1,5.9,19.5,1.7,0.3,9.3,24.6,3.2,1.2,4.4,0.146,4.7,1.9,6.6,
2.0,Elliot Cadeau,G,35,35,967,13.6,0.528,0.3,0.352,417.0,1.9,9.7,6.0,37.1,2.0,1.0,25.5,21.8,1.0,1.1,2.0,0.084,1.4,1.1,2.5,
3.0,Seth Trimble,G,32,18,920,17.4,0.54,0.317,0.466,362.0,5.1,14.6,10.1,8.2,2.8,1.3,9.3,20.4,1.8,1.3,3.1,0.135,3.1,3.3,6.4,
4.0,Drake Powell,G,35,22,889,13.1,0.591,0.454,0.265,243.0,3.1,11.2,7.3,6.7,1.5,2.7,10.2,13.7,1.4,1.0,2.4,0.107,2.8,3.2,6.0,
5.0,Ian Jackson,G,34,12,830,16.5,0.579,0.451,0.288,362.0,2.2,10.7,6.6,7.2,1.3,0.9,10.4,24.2,1.6,0.8,2.4,0.117,3.8,1.3,5.1,
6.0,Ven-Allen Lubin,F,35,18,687,22.6,0.681,0.016,0.355,276.0,11.9,20.5,16.4,3.0,1.2,5.1,11.8,17.8,2.1,1.0,3.1,0.182,4.5,2.9,7.3,
7.0,Jae'lyn Withers,F,35,18,606,16.9,0.625,0.529,0.329,210.0,5.9,22.4,14.5,6.7,1.4,2.3,13.1,16.9,1.3,0.9,2.2,0.142,4.0,2.9,6.9,
8.0,Jalen Washington,F,34,16,539,16.6,0.614,0.136,0.439,195.0,9.8,19.3,14.8,5.9,0.9,5.7,18.4,18.0,0.9,0.8,1.7,0.125,0.6,2.9,3.5,
9.0,Cade Tyson,F,29,0,234,10.8,0.529,0.667,0.232,71.0,4.6,11.2,8.1,1.5,1.2,0.4,5.0,17.1,0.3,0.2,0.5,0.092,-0.4,0.7,0.2,
10.0,Tyzhaun Claude,F,19,1,92,13.4,0.541,0.0,0.813,28.0,15.7,17.8,16.8,1.8,1.8,1.1,8.3,13.1,0.2,0.1,0.3,0.135,-1.1,1.6,0.5,
11.0,James Brown,F,17,0,49,14.3,0.618,0.0,0.385,18.0,17.2,15.6,16.3,0.0,1.2,0.0,20.6,19.7,0.1,0.1,0.1,0.092,-2.6,-0.1,-2.8,
12.0,Russell Hawkins,G,8,0,14,1.7,0.333,0.0,0.0,4.0,0.0,7.8,4.1,44.5,0.0,0.0,40.0,17.8,0.0,0.0,0.0,-0.044,-6.7,-1.1,-7.8,
13.0,Dante Mayo Jr.,G,7,0,11,7.3,0.5,1.0,0.0,2.0,0.0,9.9,5.2,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.055,-0.5,0.5,0.0,
14.0,John Holbrook,F,7,0,9,13.8,0.5,0.0,0.0,2.0,13.3,24.3,19.1,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.112,1.4,-0.2,1.3,
,Team Totals,,35,35,7050,,0.575,0.37,0.348,,,,,,,,,,13.7,8.5,22.3,0.126,3.0,2.2,5.2,
