Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Kevin Vannatta,34,34,1157,16.7,0.633,0.581,0.397,0.534,384,2.2,11.3,6.8,14.4,2.1,0.4,16,15.6,,2.6,2,4.6,0.158,,1.7,0.8,2.5
2,Dwayne Sutton,34,34,1037,19.9,0.547,0.509,0.249,0.687,408,8.4,19.4,13.9,8,2.9,2.5,13.5,20.3,,2,2.4,4.4,0.17,,0,2.5,2.5
3,Ahmad Thomas,34,33,950,19.2,0.532,0.513,0.095,0.257,372,6.3,19.6,13,13.7,4.2,0.6,16.1,21.7,,1.2,2.4,3.6,0.151,,-1.1,3.2,2.1
4,Sam Hughes,34,30,899,19.4,0.556,0.516,0.065,0.421,358,7.1,11.5,9.3,8.9,2.8,5.4,15.5,21.5,,1.5,1.9,3.4,0.152,,-1.4,3.6,2.2
5,Dylan Smith,34,19,929,15.1,0.538,0.481,0.639,0.372,423,1.5,9.1,5.3,13.3,2.1,1.3,17.1,27.1,,1.2,1.6,2.7,0.118,,0.1,-1.3,-1.2
6,Will Weeks,33,4,821,14.6,0.52,0.516,0,0.407,248,7.3,11.7,9.5,13.3,2.6,0.5,15.6,15.3,,1,1.5,2.5,0.123,,-1.4,1.8,0.4
7,Raekwon Miller,18,0,216,15.7,0.507,0.486,0.757,0.338,84,3.1,7.1,5.1,14,4.2,1,12.3,22.2,,0.3,0.4,0.7,0.137,,1.1,-0.1,1.1
8,John Cannon,17,1,109,26.3,0.609,0.61,0.049,0.341,50,10.2,16.2,13.2,4.3,1,10.1,11.2,24.1,,0.3,0.2,0.5,0.196,,-1.6,2.3,0.7
9,David Robertson,15,15,322,4.9,0.373,0.344,0.602,0.14,80,2.4,5.1,3.8,13.5,0.4,0.3,10.8,16.9,,-0.1,0.4,0.3,0.035,,-4.1,-2.7,-6.8
10,Alec Wnuk,19,0,107,8,0.533,0.568,0.227,0.318,27,7.2,17.5,12.4,5.2,0.5,2.1,26.2,15.7,,0,0.2,0.2,0.062,,-5.7,-0.4,-6.1
11,Trae Bryant,22,0,234,4.3,0.402,0.367,0.6,0.167,53,1.9,11.3,6.6,9.6,1.9,1.4,23.6,17.7,,-0.3,0.4,0.1,0.016,,-6.5,0,-6.4
12,Giacomo Zilli,14,0,70,6.9,0.517,0.471,0,0.412,20,4.7,12.6,8.7,5.3,1.6,3.1,28.2,19.8,,-0.1,0.1,0.1,0.043,,-8.1,0.6,-7.4
13,Isaiah White,1,0,0,,,,,,,,,,,,,,,,0,0,0,,,-6,0.5,-5.6
