Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Raasean Davis,34,34,980,25.1,0.661,0.667,0.003,0.318,433,11.5,19.4,15.6,3.4,1.2,3.8,14.8,23,,2.7,1.7,4.5,0.182,,0.4,-1,-0.7
2,Pablo Rivas,32,3,847,21.7,0.592,0.573,0.403,0.188,336,7.7,21.2,14.7,7.7,1.6,4.7,10.1,20.8,,2.2,1.7,3.8,0.181,,1.1,0.8,1.9
3,Jordan Perkins,34,24,925,13.3,0.533,0.491,0.231,0.404,352,2.9,9,6,34.8,1.1,1.1,25.5,19.3,,1.2,1.1,2.3,0.098,,-2.3,-2.4,-4.7
4,Reginald Gardner,34,34,1006,10.4,0.486,0.455,0.659,0.213,344,2,4.8,3.4,10,0.8,0.7,8.7,20.9,,1.2,0.9,2.2,0.086,,-1.1,-3.8,-4.9
5,Zacarry Douglas,30,26,406,15.2,0.56,0.54,0.34,0.28,127,9.8,26.1,18.2,7.9,0.6,3.3,18.7,17,,0.5,0.8,1.3,0.125,,-2.9,-0.2,-3.1
6,Larry McKnight,33,0,554,10.8,0.474,0.439,0.406,0.283,186,6.9,8.9,7.9,3.6,2.3,1,13.1,21.9,,0.3,0.8,1.1,0.077,,-3.8,-2.5,-6.4
7,Dominique Reid,32,0,361,14.7,0.601,0.585,0.02,0.45,136,10,23,16.7,6.9,0.5,2.2,25.3,22.3,,0.3,0.6,0.9,0.097,,-5.1,-1.7,-6.8
8,C.J. Wiggins,24,8,363,13.8,0.511,0.473,0.457,0.372,125,1,5.1,3.1,25.7,2.9,0,18.4,18.5,,0.4,0.5,0.9,0.102,,-2,-3.1,-5.2
9,John Guerra,22,13,259,12.3,0.515,0.448,0.397,0.5,78,7.2,8.4,7.8,9.1,1.8,0,12.2,15.7,,0.4,0.3,0.7,0.113,,-1.5,-2.1,-3.6
10,Brandon Goldsmith,25,20,403,8.1,0.472,0.433,0.211,0.422,102,4,13.6,9,8.4,2.5,1.4,23.4,17.4,,-0.2,0.7,0.5,0.049,,-6,0.3,-5.7
11,Raekwon Harney,21,0,250,10.4,0.355,0.367,0.267,0.133,62,1.4,9.6,5.6,37.4,4.4,0,31.5,13.9,,-0.1,0.5,0.4,0.059,,-5.8,-0.9,-6.7
12,Alston Jones,22,2,309,8.6,0.555,0.506,0.099,0.309,110,1.5,7.4,4.6,25.6,0.6,0.4,30.1,21.3,,0,0.3,0.3,0.045,,-5.9,-3.9,-9.8
13,Marius McAllister,16,6,140,10.9,0.457,0.45,0,0.2,29,6.7,17.2,12.1,17.4,2.1,1.6,26.8,10.6,,0,0.2,0.3,0.083,,-4.6,1.5,-3.2
14,Rashann London,1,0,0,,,,,,,,,,,,,100,,,0,0,0,,,-6.4,-0.7,-7.2
15,Alex Mills,6,0,21,-13.9,0.1,0.1,0.6,0,2,0,5.2,2.7,0,0,0,0,23.6,,-0.1,0,-0.1,-0.2,,-16.8,-8.5,-25.3
