Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Isaiah Miller,28,27,859,27.1,0.494,0.476,0.095,0.225,535,5.1,19.4,11.9,30.9,4.8,1.3,13.3,35.2,,1.9,2.2,4,0.187,,3.9,4.2,8.1
2,Hayden Koval,29,9,570,22.1,0.604,0.573,0.533,0.3,189,5.3,15.8,10.2,4.4,0.9,14.3,5.5,15.3,,1.7,1.2,2.9,0.206,,2.8,3.9,6.7
3,Keyshaun Langley,29,27,751,14.7,0.514,0.473,0.676,0.287,295,1.2,6.6,3.7,22.9,2.5,0.7,15.8,21,,1.3,1.2,2.5,0.131,,0.4,0.8,1.2
4,Mohammed Abdulsalam,29,29,550,20.2,0.536,0.516,0,0.34,217,15.9,23.6,19.5,6.7,1.5,2,15.2,19,,1.2,1.1,2.4,0.171,,0.1,-0.2,-0.1
5,Kaleb Hunter,27,25,757,12.9,0.503,0.471,0.333,0.238,224,5,9.7,7.2,5.1,1.7,0.8,11,16.7,,1,1.1,2.1,0.109,,-0.6,0.6,0
6,Angelo Allegri,29,26,703,11.5,0.49,0.475,0.652,0.131,211,4.9,13.8,9.1,3.2,1.3,0.2,8.9,17.6,,0.9,1.1,1.9,0.109,,-0.4,-0.2,-0.6
7,Khyre Thompson,29,0,401,14.3,0.487,0.447,0.592,0.204,115,9.5,16.6,12.8,3.4,1.1,1.2,3.4,14,,0.8,0.7,1.5,0.147,,0.4,-0.1,0.4
8,A.J. McGinnis,27,0,413,12.6,0.526,0.523,0.781,0.079,140,1,7.9,4.2,5.8,1.6,0.3,9.8,20.2,,0.6,0.6,1.2,0.112,,-0.1,0,-0.1
9,Kobe Langley,26,0,296,9.7,0.415,0.388,0.245,0.224,61,2.4,13.7,7.7,20.3,3.4,0,24.9,11.7,,0,0.6,0.6,0.082,,-4.5,3.2,-1.4
10,Bas Leyte,28,0,215,11.2,0.498,0.5,0.355,0.419,46,8.9,13.6,11.1,8.3,0.5,4.1,13.9,9.6,,0.3,0.3,0.6,0.114,,-2,1.1,-1
11,Jarrett Hensley,28,1,195,10.1,0.452,0.398,0.571,0.367,49,2.6,12.7,7.3,3.4,1.5,4.5,12.2,16.1,,0.1,0.3,0.4,0.081,,-1.9,1.3,-0.6
12,Reggie Raynor,1,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.026,,-3.9,-0.4,-4.2
13,Ryan Tankelewicz,1,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.026,,-3.9,-0.4,-4.3
14,J.C. Tharrington,3,0,3,-5.7,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.033,,-12.8,0.5,-12.4
15,Dericko Williams,18,1,109,-0.5,0.377,0.364,0,0.515,36,13.8,15.5,14.6,4.8,2.1,2.3,35.9,28.2,,-0.4,0.2,-0.2,-0.086,,-14,-1.3,-15.3
