Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Omer Yurtseven,32,21,772,27.7,0.614,0.61,0.133,0.248,390,12.8,19.7,16.2,4,1.2,7.8,9.1,24.4,,2.7,1.2,3.9,0.203,,4.4,3.3,7.7
2,Torin Dorn,32,31,915,20.6,0.597,0.57,0.209,0.312,413,9.2,15.3,12.2,8.7,1.9,1.4,14.8,22.5,,2.2,1.2,3.4,0.15,,4.2,2,6.2
3,Braxton Beverly,30,25,972,13.2,0.553,0.523,0.626,0.198,314,2.1,6.8,4.4,19.5,1.7,0,12.2,14.8,,2,0.9,2.9,0.119,,4.7,0.6,5.3
4,Allerik Freeman,32,27,1095,14.1,0.511,0.453,0.429,0.401,466,1.8,11.9,6.7,12.7,2,0,13.9,24.4,,1.5,1.2,2.7,0.098,,1.8,0.7,2.5
5,Lennard Freeman,32,12,544,24.5,0.66,0.641,0,0.621,221,10.2,18.4,14.2,1,2.9,4.8,10.9,18.4,,1.7,1,2.7,0.196,,3.1,2.8,5.9
6,Markell Johnson,25,23,726,16.8,0.549,0.53,0.359,0.407,296,2.3,11.1,6.6,41,3.3,0.8,29.4,18.5,,1.1,1,2.1,0.115,,2.7,1.9,4.6
7,Sam Hunt,32,7,511,12.6,0.643,0.62,0.902,0.135,143,0.7,5.5,3,2.9,1.5,0,6.6,14.1,,1.1,0.4,1.5,0.119,,5.2,-0.7,4.6
8,Abdul-Malik Abu,26,14,395,12.3,0.497,0.479,0.075,0.383,139,9.5,16.2,12.8,4.8,1.4,3.3,16.5,20.4,,0.2,0.5,0.8,0.079,,-1.6,2,0.4
9,Lavar Batts Jr.,29,0,395,10.7,0.412,0.36,0.439,0.523,125,2.5,8.2,5.3,17.7,3.5,0.8,11.9,18.2,,0.2,0.5,0.7,0.075,,0.3,2.1,2.4
10,Darius Hicks,4,0,34,34.1,0.714,0.7,0,0.4,18,29.3,10.3,20,5.6,1.6,0,0,16.6,,0.2,0,0.3,0.297,,11.9,-0.7,11.2
11,Shaun Kirk,5,0,55,8.5,0.345,0.333,0.2,0.133,13,8.1,21.1,14.4,8.5,2,1.8,11.1,15.5,,0,0.1,0.1,0.05,,-2.8,2.9,0.1
12,Spencer Newman,6,0,11,-10.4,0,0,0.667,0,1,10.1,31.7,20.6,0,0,0,25,17.3,,-0.1,0,0,-0.168,,-14.8,-4.5,-19.3
