Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Devontae Cacok,35,33,907,30.7,0.767,0.8,0,0.465,399,15.1,29.1,21.7,3,2.3,4.9,11.9,16.9,,4,1.6,5.6,0.249,,5.7,2.2,7.9
2,C.J. Bryce,35,34,1199,20.6,0.553,0.528,0.266,0.321,593,5.5,13.1,9.1,15.2,1.5,0.6,10.7,24.6,,3.5,1.1,4.6,0.153,,3.2,-0.5,2.7
3,Chris Flemmings,35,35,1216,19.5,0.59,0.557,0.487,0.311,511,3.5,15.6,9.3,10.4,2.2,2,13.9,21.5,,2.9,1.5,4.4,0.144,,3.6,1.1,4.6
4,Denzel Ingram,35,35,1171,18.5,0.54,0.523,0.68,0.179,540,1.8,5.9,3.7,26.1,2.2,0.2,11.3,21.8,,3.4,1,4.4,0.15,,5.3,-2.1,3.2
5,Ambrose Mosley,35,31,862,14.6,0.619,0.613,0.797,0.099,266,4.3,9.3,6.7,7.7,1.6,0.4,8.6,14.2,,2.1,0.7,2.8,0.131,,5,-0.7,4.3
6,Jordon Talley,30,0,521,16.1,0.502,0.414,0.238,0.536,249,2.3,9.5,5.7,24,1.9,0.4,12.7,23.9,,1.3,0.5,1.7,0.134,,0.6,-1.7,-1.1
7,Marcus Bryan,35,0,314,13.1,0.521,0.519,0,0.778,91,12.9,21.6,17,3.3,1.1,4.5,15.9,13.4,,0.5,0.4,0.9,0.113,,-1.6,1.4,-0.2
8,Jaylen Fornes,30,4,240,14,0.553,0.544,0.588,0.471,92,5.5,9.1,7.2,11.6,1.9,0.4,14.4,19.4,,0.5,0.2,0.7,0.116,,2.2,-1.6,0.6
9,JaQuel Richmond,27,2,347,10.5,0.495,0.454,0.248,0.294,124,2.2,8.4,5.1,14.2,1.5,0,15,20.2,,0.4,0.3,0.6,0.072,,-1.6,-2,-3.6
10,Chuck Ogbodo,23,1,178,13,0.535,0.519,0,0.444,46,14.7,14.3,14.5,2.5,0.9,9.6,21.6,11.2,,0.2,0.3,0.5,0.109,,-1.2,4.3,3
11,Matt Elmore,13,0,43,7.7,0.467,0.35,0.6,0.6,11,2.5,16.9,9.4,0,1.3,2.3,7.2,15.4,,0,0,0.1,0.08,,-3.3,-3.2,-6.5
12,Nick Powell,11,0,27,8.9,0.5,0.5,0.222,0,9,12.1,9,10.6,0,0,0,10,17.8,,0,0,0.1,0.075,,-2.4,-6.4,-8.9
