Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Donovan Newby,G,34,34,1088,18.2,0.57,0.582,0.432,485.0,1.9,7.7,4.9,19.4,2.2,0.3,10.7,22.5,3.4,1.4,4.7,0.174,2.5,0.0,2.4,
2.0,Sean Moore,G,34,27,817,17.4,0.517,0.447,0.193,292.0,7.7,22.9,15.5,10.1,3.8,1.9,15.5,21.0,0.9,1.8,2.7,0.132,0.2,1.6,1.8,
3.0,Bo Montgomery,G,34,17,766,17.6,0.545,0.409,0.226,307.0,5.1,14.2,9.8,17.4,2.2,1.6,10.4,20.9,1.9,1.2,3.0,0.159,0.5,0.3,0.8,
4.0,Nolan Hodge,G,33,15,766,13.6,0.57,0.434,0.341,244.0,7.8,10.8,9.3,9.0,1.2,0.6,14.2,16.2,1.4,0.9,2.3,0.123,0.8,-1.1,-0.3,
5.0,Joshua Williams,G,34,21,749,11.7,0.521,0.223,0.612,215.0,2.5,12.3,7.5,18.8,1.7,0.2,18.2,14.7,1.0,1.0,1.9,0.103,-2.2,-0.4,-2.5,
6.0,Noah Ross,G,30,9,714,16.3,0.563,0.254,0.362,248.0,7.8,16.5,12.3,11.5,1.4,0.7,11.8,17.3,1.6,1.0,2.6,0.145,-0.3,-0.7,-0.9,
7.0,Harlan Obioha,C,34,22,679,24.8,0.644,0.022,0.771,312.0,14.7,19.5,17.2,9.1,1.7,7.3,17.3,21.9,2.0,1.3,3.3,0.197,1.7,0.6,2.4,
8.0,Khamari McGriff,F,33,12,639,28.8,0.675,0.012,0.364,323.0,9.7,14.2,12.0,8.2,1.2,7.3,10.1,24.9,2.6,1.0,3.6,0.228,4.7,0.6,5.3,
9.0,Josh Corbin,G,21,13,493,10.9,0.507,0.866,0.157,149.0,1.9,8.2,5.1,16.0,0.8,0.2,10.0,16.3,0.8,0.5,1.3,0.105,-0.8,-1.4,-2.2,
10.0,Elijah Jamison,G,4,0,60,16.0,0.492,0.214,0.643,35.0,4.0,3.7,3.8,23.2,1.0,2.0,14.1,35.7,0.1,0.1,0.1,0.094,2.9,-2.6,0.3,
11.0,Makoi Mabor,F,9,0,50,20.4,0.62,0.091,0.364,16.0,16.6,22.4,19.6,0.0,4.8,2.4,23.7,17.0,0.1,0.1,0.2,0.153,-3.2,-2.2,-5.4,
12.0,Jake Murphy,G,2,0,21,22.0,0.75,0.6,0.0,9.0,5.7,10.7,8.2,0.0,0.0,0.0,16.7,28.8,0.0,0.0,0.1,0.128,-55.3,5.2,-50.1,
13.0,JoJo Fullwood,G,6,0,18,13.1,0.375,0.5,0.0,4.0,13.2,0.0,6.4,8.8,6.6,6.7,20.0,14.0,0.0,0.0,0.0,0.09,-6.7,15.1,8.4,
14.0,Shane Anthony,G,5,0,13,14.5,0.5,0.5,0.0,7.0,9.1,8.6,8.9,16.9,0.0,0.0,11.1,34.8,0.0,0.0,0.0,0.102,-5.3,-7.1,-12.4,
15.0,Kendell Cave,F,1,0,2,14.8,0.526,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.133,,,,
,Team Totals,,34,34,6875,,0.572,0.365,0.374,,,,,,,,,,15.7,10.4,26.1,0.152,0.7,0.0,0.7,
