Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Quinton Hooker,32,31,1156,23.5,0.613,0.565,0.438,0.343,588,2.4,11.8,7.2,18.5,2.7,0.5,10,23.5,,4.1,1.8,5.9,0.203,,4.6,-0.5,4.1
2,Geno Crandall,31,31,1006,20.5,0.604,0.562,0.33,0.481,495,2.8,11.1,7.1,24.6,3.5,0.9,20.4,24.2,,2.2,1.7,4,0.159,,1.8,0.7,2.4
3,Corey Baldwin,32,31,919,13.8,0.588,0.584,0.686,0.227,294,1.8,13.3,7.7,7.6,2.3,0.6,13.7,17.4,,1.2,1.4,2.6,0.114,,0.6,-0.5,0.1
4,Drick Bernstine,31,30,858,15.5,0.54,0.534,0.024,0.327,289,7.1,23.5,15.5,15.5,1.8,2.1,19.9,16.8,,1,1.6,2.6,0.119,,-2.5,2.4,0
5,Conner Avants,31,30,708,17.5,0.578,0.555,0.031,0.25,289,11.3,12.6,12,4.8,1.5,2.4,14.4,20.5,,1.4,1,2.4,0.136,,-1.6,-0.7,-2.3
6,Cortez Seales,30,1,772,14.3,0.499,0.465,0.113,0.408,261,4.6,10.3,7.5,11,2,1.8,9.3,17.7,,1.1,1.1,2.2,0.111,,-2.3,0.3,-2
7,Carson Shanks,31,3,390,12.8,0.573,0.542,0.019,0.71,160,6.9,12.9,10,8.2,0.1,6.2,22.3,23,,0.3,0.6,0.9,0.093,,-5.3,0.2,-5.1
8,Josh Collins,30,3,324,5.8,0.531,0.491,0.345,0.345,70,4,11.7,8,5.3,0.8,1.3,22.9,12.5,,0.1,0.4,0.5,0.058,,-4.5,-0.9,-5.4
9,Billy Brown,23,0,211,5.8,0.43,0.375,0.688,0.188,47,2.2,10.1,6.2,7.3,1.8,0,16.1,14.4,,0,0.3,0.2,0.043,,-4.3,-1.7,-6
10,Kienan Walter,19,0,78,16.2,0.575,0.563,0.25,0.469,42,12.1,27.2,19.8,5.2,0,0,18.7,30,,0.1,0.1,0.2,0.119,,-4.4,-5.9,-10.2
11,Thomas Blake,14,0,39,16.7,0.394,0.346,0.692,0.154,15,12.1,28.7,20.6,21,4.2,0,17.7,21.2,,0,0.1,0.1,0.105,,-1.5,1.8,0.3
12,Devon Pekas,11,0,39,13,0.618,0.643,1,0.571,11,3,20.1,11.8,12.1,1.4,2.7,18.3,13.6,,0.1,0.1,0.1,0.131,,-0.2,0,-0.2
