Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Vinnie Shahid,33,33,970,19.4,0.592,0.538,0.548,0.392,421,1.2,11.5,6.4,18.6,1.6,0,11,22.6,,2.9,0.5,3.4,0.141,,3.3,-2.7,0.5
2,Tyson Ward,32,26,886,21.4,0.57,0.525,0.258,0.459,412,6.1,21.9,14.2,17.6,1.9,0.6,14.8,24.9,,2.2,0.9,3.1,0.14,,0.9,-0.3,0.6
3,Jared Samuelson,33,32,904,12.5,0.682,0.658,0.857,0.186,219,0.7,9.7,5.3,8,1,0.2,8.8,11.6,,2,0.4,2.3,0.104,,2.8,-2,0.7
4,Rocky Kreuser,33,33,709,18.8,0.597,0.551,0.547,0.341,285,5.9,15.5,10.8,7,1.2,5.1,14.7,22.4,,1.5,0.7,2.2,0.124,,0.7,-0.3,0.3
5,Deng Geu,33,0,607,23.9,0.602,0.567,0.178,0.387,312,9.3,24.6,17.1,7.8,0.9,4.6,17.1,29.5,,1.5,0.7,2.1,0.14,,-1.7,-1.2,-2.9
6,Tyree Eady,33,13,676,15,0.601,0.579,0.5,0.129,209,4,11,7.6,8.2,1.4,0.3,11.7,16.5,,1.3,0.4,1.7,0.098,,0.9,-2.1,-1.3
7,Sam Griesel,22,20,561,10.9,0.517,0.505,0.282,0.355,149,4.8,13.3,9.1,11.8,1.4,0.4,18.9,15.4,,0.4,0.3,0.8,0.054,,-2.1,-0.7,-2.9
8,Cameron Hunter,21,0,386,14.1,0.589,0.549,0.647,0.451,139,1,9.8,5.5,11.6,1.6,1.1,16.8,21,,0.6,0.2,0.8,0.086,,0.1,-2.6,-2.5
9,Chris Quayle,30,5,413,8.5,0.542,0.526,0.632,0.211,77,1.5,14.5,8.2,11.6,1,0.8,18.3,10.1,,0.3,0.2,0.6,0.055,,-2,-0.9,-2.9
10,Jordan Horn,23,0,277,13.5,0.47,0.46,0.545,0.069,92,0,15.9,8.1,12.7,2.8,0,8.7,22.5,,0.1,0.3,0.4,0.053,,-2.3,-2.2,-4.4
11,Jarius Cook,17,3,182,8.3,0.419,0.406,0.609,0.094,54,2.8,10.1,6.5,6.5,2.6,1.2,11.9,22.7,,-0.2,0.2,0,0,,-4.5,-2.5,-7.1
12,Jaxon Knotek,10,0,74,1.6,0.368,0.348,0.652,0.13,18,1.7,8.3,5.1,7.5,0,2.9,17,21.7,,-0.1,0,-0.1,-0.066,,-7.7,-3.7,-11.4
