Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Javion Hamlet,26,26,844,18.4,0.534,0.473,0.217,0.331,411,1.6,10.9,6.5,29.2,0.9,0,15.4,27.5,,2.3,1.3,3.6,0.171,,2.1,-0.4,1.6
2,James Reese,26,26,801,16.2,0.551,0.539,0.626,0.111,254,2.1,15.4,9.1,8.8,2.9,0.7,10.5,19.3,,1.4,1.8,3.2,0.16,,1.7,2.7,4.4
3,Thomas Bell,26,26,706,19.5,0.622,0.609,0.396,0.266,253,8.8,17.5,13.3,6.6,1.6,4.9,18.5,20.3,,1.5,1.6,3.1,0.177,,1.5,2.1,3.6
4,Zachary Simmons,26,26,685,20.8,0.667,0.662,0.028,0.268,270,9.8,19.1,14.7,15.3,1.5,3,25.8,21.5,,1.5,1.5,3,0.177,,1.1,2.2,3.3
5,Mardrez McBride,26,26,601,13.6,0.576,0.552,0.713,0.259,171,1.3,10.4,6.1,9.8,1.6,1.2,12.5,16.5,,1.1,1.1,2.2,0.144,,1.1,1.4,2.5
6,Terence Lewis,22,0,225,25.6,0.658,0.625,0.133,0.4,93,9.4,19.7,14.8,13,3.5,1,16.4,20.5,,0.8,0.6,1.4,0.241,,3.8,3.3,7.1
7,JJ Murray,26,0,501,9.4,0.516,0.447,0.579,0.474,83,3.4,8.6,6.1,8,3.7,0.2,19.6,9.4,,0.4,1.1,1.4,0.115,,-2.1,4.2,2.2
8,Rubin Jones,22,0,497,10.8,0.518,0.492,0.542,0.254,143,4,7.2,5.7,13.2,2.3,0.7,21.9,18.4,,0.3,0.9,1.2,0.097,,-0.4,1.2,0.8
9,Abou Ousmane,24,0,197,17.5,0.537,0.552,0,0.328,70,12.1,22.5,17.5,4.3,1.2,5.9,15.2,21.7,,0.3,0.5,0.8,0.155,,-4.5,1.1,-3.4
10,Jalen Jackson,18,0,90,6.4,0.364,0.35,0.25,0.35,21,1.5,9.3,5.6,19.4,2,0,11.4,15.8,,0,0.2,0.2,0.076,,-5.4,1.7,-3.7
11,Mykell Robinson,11,0,41,22.8,0.539,0.583,0.5,0.5,14,6.4,14.6,10.7,4.9,5.9,2.8,6.3,20.9,,0.1,0.1,0.2,0.202,,-2.9,5.7,2.8
12,Larry Wise,4,0,37,17.3,0.642,0.611,0.556,0.444,12,7.1,29.2,18.7,0,0,3.1,15.5,18.9,,0.1,0.1,0.2,0.184,,-1.7,-1.9,-3.6
