Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Scott Eatherton,35,34,1054,24.7,0.627,0.604,0.093,0.48,470,8.6,18.7,14.1,12.4,1.1,4.2,14.8,25.3,,3.4,1.5,4.9,0.184,,2.8,1,3.8
2,David Walker,35,35,1298,17.9,0.603,0.543,0.542,0.412,463,1.1,10.5,6.2,20.1,2,0.8,16.7,20,,3.2,1.4,4.6,0.141,,3.6,-0.6,3
3,Quincy Ford,35,35,1101,16.6,0.545,0.498,0.521,0.39,369,5.3,16.4,11.3,14.7,1.9,3.4,17.9,20.6,,1.7,1.6,3.2,0.118,,1.3,1.6,2.9
4,Zach Stahl,35,34,969,15.5,0.588,0.569,0,0.378,311,9.8,17.6,14,15.2,1.4,1.3,24.3,18.7,,1.3,1.2,2.5,0.105,,-0.1,1,1
5,T.J. Williams,35,35,1158,13,0.531,0.51,0.31,0.452,356,2.9,10.8,7.1,19.6,1.5,0.8,19.7,19,,1.3,1.1,2.4,0.084,,-0.2,-0.5,-0.6
6,Reggie Spencer,32,1,604,14.8,0.587,0.53,0,0.462,185,7.6,13.4,10.7,8,2.1,2.5,19.5,18.4,,0.9,0.8,1.7,0.115,,-1.1,0.8,-0.2
7,Caleb Donnelly,31,0,251,17.1,0.711,0.718,0.823,0.258,76,2.9,10.3,6.8,4.2,0.3,0,9.1,17,,0.7,0.2,0.9,0.144,,4.5,-4.7,-0.2
8,Devon Begley,34,0,451,8.9,0.543,0.512,0.353,0.176,102,1.9,12,7.3,13.8,2.5,0.5,27.5,15.7,,0,0.6,0.6,0.054,,-2.6,0,-2.5
9,Kwesi Abakah,25,0,112,7.4,0.497,0.474,0,0.684,24,7.7,16.4,12.4,0,0,0.9,10.6,14,,0.1,0.1,0.2,0.071,,-5.3,-5.3,-10.6
10,Jimmy Marshall,17,0,62,2.9,0.293,0.192,0.692,0.385,11,6.9,11.9,9.6,5.8,0,0,6.1,14.7,,0,0,0,0.006,,-4.2,-3.8,-8.1
11,C.J. Hill,10,0,15,-34.5,0.202,0,0.25,0.5,2,0,8.2,4.4,0,0,0,54.8,40.6,,-0.2,0,-0.2,-0.518,,-32.9,-6.2,-39.2
