Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jeremy Morgan,36,36,1160,22.1,0.628,0.58,0.466,0.466,423,4.8,15.1,10.2,15.1,3.8,3.3,13.4,18.6,,3.2,2.5,5.7,0.196,,5.5,5.5,10.9
2,Wes Washpun,36,36,1241,20.3,0.549,0.501,0.235,0.48,575,1,13.2,7.4,34.7,2.1,2.4,16.7,26,,2.7,2.1,4.8,0.154,,2.7,2.6,5.3
3,Matt Bohannon,36,36,1265,14.8,0.617,0.593,0.758,0.209,354,0.1,13.9,7.4,5.5,1.4,0.3,6.9,16.5,,2.3,1.8,4.2,0.132,,4.1,0.7,4.8
4,Paul Jesperson,36,36,1091,14.5,0.59,0.563,0.681,0.171,349,2.3,13.6,8.2,6.3,0.8,1,10.8,19.6,,1.7,1.5,3.2,0.116,,2.7,0,2.7
5,Klint Carlson,32,0,703,15.9,0.563,0.529,0.279,0.284,229,4.9,15.6,10.5,6.6,2,1.2,11.6,19.8,,1,1.2,2.2,0.125,,0.3,1.4,1.7
6,Bennett Koch,36,36,675,15.2,0.554,0.497,0,0.523,268,6.8,16.2,11.8,5.4,0.9,2.3,17.3,25.7,,0.7,1.1,1.8,0.104,,-3.4,0.2,-3.1
7,Wyatt Lohaus,36,0,660,7.4,0.487,0.456,0.412,0.199,147,0.6,9.5,5.3,10.8,1.2,0,17.2,15.7,,-0.1,0.8,0.7,0.045,,-2.3,0.4,-2
8,Ted Friedman,36,0,298,4.8,0.424,0.5,0,0.643,45,8,10.8,9.4,5.6,0.4,2,19.3,9,,0,0.4,0.4,0.055,,-3.1,2.1,-1
9,Aarias Austin,9,0,120,13.7,0.54,0.512,0.605,0.116,44,0,15.8,8.3,13.2,1,0,15,25.7,,0.1,0.2,0.2,0.076,,-0.2,-1.6,-1.8
10,Lincoln Conrey,1,0,26,7.3,1,1,0.667,0,6,0,9.1,4.8,15.2,0,0,50,13.3,,0,0,0,0.052,,-1.2,-1.5,-2.7
11,Robert Knar,13,0,36,9.4,0.409,0.357,0.714,0.286,11,0,23.1,12.1,0,0,0,0,25.5,,0,0.1,0,0.036,,-5.4,-7.8,-13.2
