Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Drew McDonald,35,35,1052,22,0.572,0.535,0.325,0.376,539,7.7,20.9,14.4,12.3,0.8,1.8,13.3,26.9,,2.9,1.5,4.4,0.167,,1.8,-0.5,1.3
2,Carson Williams,35,34,866,22.5,0.633,0.602,0.009,0.623,379,11.6,15.2,13.4,9.7,1.2,1.7,14.6,19.8,,2.7,1.2,3.9,0.18,,2.1,0.4,2.5
3,LaVone Holland,35,33,1081,17.3,0.543,0.513,0.392,0.421,516,1.9,8.3,5.1,26.3,2.4,0.8,18.5,26,,1.8,1.4,3.3,0.121,,1,-0.8,0.2
4,Cole Murray,35,25,1011,13.9,0.615,0.608,0.913,0.083,297,0.8,11.7,6.3,7.1,1,1.4,8,15.2,,2.1,1.2,3.3,0.13,,3,-0.7,2.3
5,Jordan Garnett,33,24,768,11.2,0.582,0.542,0.358,0.35,178,5.5,9.3,7.4,10.4,1.9,1.3,20.1,10.8,,1,1,2,0.105,,0,1.6,1.6
6,Mason Faulkner,33,0,603,15.4,0.519,0.464,0.495,0.408,250,2.5,12.4,7.5,21.2,2.5,0.3,15.8,22.6,,1,0.9,1.8,0.122,,0.3,-0.5,-0.2
7,Jeff Garrett,34,12,479,12.1,0.434,0.423,0.216,0.387,134,10.2,24.7,17.5,7.4,2.2,2.3,17,16.8,,0.1,0.9,1,0.082,,-4.2,1.9,-2.3
8,Dantez Walton,29,1,303,14.8,0.496,0.471,0.663,0.202,111,8.3,17,12.6,8,1.9,1.7,10.9,20.7,,0.4,0.5,0.9,0.119,,0.1,-0.8,-0.7
9,Brennan Gillis,35,2,318,12.5,0.577,0.575,0.238,0.313,112,9.7,13.4,11.5,12.4,1.1,2.9,25.8,19.1,,0.3,0.4,0.7,0.089,,-2,0.7,-1.3
10,Blake Spellman,11,0,141,5.9,0.522,0.5,0.913,0.087,25,0.8,10.3,5.6,9.4,0.8,0,22.6,10.8,,0,0.1,0.2,0.05,,-2.5,-1.3,-3.7
11,Jalen Tate,8,8,150,6.9,0.407,0.426,0.294,0.706,41,3,8.9,6,15.2,2.6,1.3,18.1,18.1,,-0.1,0.2,0.1,0.036,,-4.4,0.5,-3.9
12,Nick Ayers,2,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.019,,-5.1,0.4,-4.7
13,Tre Cobbs,8,0,15,8.6,0.816,0.833,0.333,1.333,7,0,0,0,12.6,3.8,0,44.9,29.1,,0,0,0,0.038,,-5.4,-4,-9.5
14,Matt Rosenwinkel,5,1,10,14.9,0.5,0.5,0.5,0,2,0,22.3,11.3,0,5.6,0,0,9.8,,0,0,0,0.121,,-3.6,0.6,-3
15,Brandon Maxwell,24,0,201,-2,0.379,0.378,0.683,0.195,35,1.1,11.1,6.2,8.2,1.4,1,36.7,17.3,,-0.6,0.2,-0.3,-0.061,,-8.7,-0.3,-9
