Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Boo Buie,32,32,1110,19.1,0.521,0.468,0.419,0.285,544,1.6,9.9,5.6,31.4,2,0.6,13.1,28.9,,2.3,1.8,4.1,0.149,,4.1,1.8,5.9
2,Chase Audige,32,32,1096,15.6,0.478,0.441,0.45,0.201,425,2.3,9.3,5.7,18.4,4.2,2.5,14,26,,0.6,2.4,3,0.108,,0.8,4.2,5
3,Matthew Nicholson,32,23,666,20.6,0.563,0.588,0,0.649,213,11.5,19.1,15.2,13.2,1.8,7.9,14,15.9,,1.4,1.5,2.9,0.174,,1.8,4.1,5.9
4,Brooks Barnhizer,32,0,762,16.4,0.54,0.49,0.399,0.318,239,5.7,18.6,11.9,9.7,1.9,2.1,10.9,17.8,,1.3,1.5,2.8,0.149,,2,2.9,4.9
5,Robbie Beran,32,32,849,13.9,0.52,0.464,0.519,0.317,235,5,15.9,10.2,5,1.3,3.7,7.7,16.2,,1.3,1.6,2.8,0.134,,0.8,2.3,3.2
6,Ty Berry,32,32,894,13.2,0.468,0.426,0.616,0.221,256,3.1,16.9,9.8,8.5,3.2,0.7,8.5,18.9,,0.7,1.9,2.6,0.117,,-0.2,3.4,3.3
7,Tydus Verhoeven,32,9,506,11.9,0.571,0.557,0.016,0.344,98,8.6,11.2,9.8,8.4,1.9,5.8,17.4,9,,0.7,1,1.6,0.13,,-2.4,4.7,2.3
8,Julian Roper II,15,0,-321,10.8,0.52,0.528,0.358,0.415,66,3.1,17.2,9.9,9.8,2.1,1.6,14.8,12.3,,0.2,0.6,0.9,0.107,,-1.7,3.5,1.9
9,Nick Martinelli,18,0,186,14,0.537,0.538,0.205,0.308,51,10.8,5.8,8.4,6.7,2,0,10.1,14.2,,0.3,0.3,0.6,0.126,,2.4,1.2,3.6
10,Luke Hunger,6,0,-37,19.5,0.489,0.464,0.143,0.357,18,24.1,0,12.5,6.4,0,0,5.8,24.9,,0.1,0,0.1,0.154,,2.5,-3.2,-0.8
11,Blake Smith,3,0,4,38.1,1,1,0,0,2,27.8,0,14.5,0,0,0,0,13.3,,0,0,0,0.282,,10.2,3.1,13.3
12,Roy Dixon,13,0,18,-7.5,0.253,0,0.333,0.667,2,0,20,9.6,9.5,3.4,0,43.2,20.5,,-0.1,0,-0.1,-0.113,,-17.2,1.5,-15.7
