Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM,Player-additional
1,Boo Buie,32,32,1172,22.1,0.588,0.543,0.421,0.309,611,1.9,9.8,5.8,29.5,2.2,0.2,12.1,27.8,,3.8,1.1,5,0.169,,6.5,0.7,7.2,boo-buie-1
2,Brooks Barnhizer,32,32,1169,19.7,0.526,0.477,0.286,0.369,462,4.2,21.8,12.9,14.4,3.1,2.8,9.8,23,,2.2,1.9,4.1,0.14,,3.7,2.7,6.4,brooks-barnhizer-1
3,Ryan Langborg,30,30,992,16,0.559,0.535,0.532,0.201,347,2.2,9.4,5.8,15.2,2.3,0.9,7.9,19.6,,2,1,3,0.122,,3.1,1.6,4.7,ryan-langborg-1
4,Matthew Nicholson,29,24,300.646,18,0.64,0.657,0,0.392,179,8.2,16.3,12.2,15.1,1.4,7.6,12.9,11.8,,1.6,0.9,2.5,0.154,,1.8,3.9,5.7,matthew-nicholson-1
5,Nick Martinelli,32,9,816,15.9,0.554,0.528,0.191,0.212,275,6.5,14.1,10.3,8.1,1.3,0.9,7.5,18.9,,1.6,0.8,2.4,0.116,,2.2,0.3,2.5,nick-martinelli-1
6,Ty Berry,23,23,-686,17,0.618,0.588,0.641,0.192,231,2.2,14.6,8.3,9.3,2.8,0,10.7,19.3,,1.4,0.8,2.3,0.131,,3.5,1.4,4.9,ty-berry-1
7,Luke Hunger,29,8,334,11.4,0.552,0.525,0.338,0.375,105,7.4,11.1,9.2,7.9,0.6,2.6,12.9,17.8,,0.5,0.3,0.8,0.092,,-2.1,0.1,-2,luke-hunger-1
8,Blake Preston,26,0,265,11.1,0.476,0.488,0,0.756,75,12.6,13.5,13.1,14.5,1.4,4.2,18.9,14.2,,0.3,0.3,0.6,0.094,,-3.6,1.8,-1.8,blake-preston-1
9,Blake Smith,9,2,130,11.2,0.753,0.833,0.333,1.778,26,4.8,6.9,5.8,6.5,1.9,1.9,19.4,8.7,,0.2,0.1,0.4,0.11,,-0.4,2.5,2.1,blake-smith-3
10,Gus Hurlburt,5,0,5,20.1,1,1,0,0,1,0,0,0,0,0,0,0,11,,0,0,0,0.136,,4.3,-0.9,3.4,gus-hurlburt-1
11,Justin Mullins,17,0,86,2.7,0.35,0.35,0.2,0.3,10,1.4,8.9,5.1,7.6,2.2,7.1,30.4,10.5,,-0.1,0.1,0,-0.006,,-5,3.8,-1.3,justin-mullins-1
12,Jordan Clayton,26,0,201,-1.9,0.196,0.196,0.522,0,15,0.6,8.9,4.7,8.7,1.8,0,30.3,9,,-0.4,0.2,-0.2,-0.043,,-8.2,0.7,-7.5,jordan-clayton-1
