Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Paul Atkinson,32,31,874,24,0.614,0.578,0.007,0.404,408,11.4,18.7,15.3,13,1.3,2.3,14.8,23.7,,2.9,1.3,4.3,0.196,,3.9,1.6,5.5
2,Dane Goodwin,32,31,1084,18.8,0.621,0.599,0.435,0.165,397,3.5,12.8,8.4,8.1,1.2,0.3,7.9,19.7,,3,1.3,4.3,0.159,,4.4,0.9,5.4
3,Nate Laszewski,31,25,888,16.6,0.667,0.644,0.582,0.206,248,3.3,23.3,13.8,4.7,1.1,2.1,13.4,15.2,,1.8,1.4,3.3,0.147,,2.4,1.6,3.9
4,Cormac Ryan,32,19,935,15,0.58,0.541,0.58,0.278,273,3.1,16.2,10,12.1,1.8,0.8,12.4,15.5,,1.8,1.3,3.1,0.134,,2.3,2.4,4.7
5,Prentiss Hubb,32,29,1065,12.3,0.501,0.475,0.589,0.204,333,1.8,8.8,5.5,21.7,1.3,0.6,14.9,17.6,,1.4,1.1,2.5,0.094,,1,1,2
6,Blake Wesley,32,25,926,17.7,0.509,0.48,0.429,0.336,453,2.9,11.4,7.4,18.3,2.6,0.2,13.2,31.3,,1.2,1.3,2.5,0.109,,1,0.7,1.7
7,Trey Wertz,31,0,596,9.1,0.524,0.496,0.539,0.183,147,0.4,10.7,5.8,18.3,1,0,19.4,14.2,,0.5,0.6,1.1,0.076,,-0.9,1.3,0.3
8,J.R. Konieczny,7,0,22,29.3,0.917,0.917,0.167,0,7,0,5.2,2.7,10.9,8.3,4.8,25,19.9,,0.1,0.1,0.1,0.212,,2.3,13.2,15.6
9,Elijah Morgan,6,0,14,40.3,0.619,0,0,3,9,9,16.2,12.8,44.4,8.7,0,17.1,22.9,,0.1,0,0.1,0.383,,13.5,14.8,28.3
10,Tony Sanders,6,0,15,16,0.612,0.5,1,1.333,5,0,7.6,4,0,0,0,0,17.9,,0.1,0,0.1,0.162,,2.4,-1.2,1.3
11,Matt Zona,8,0,18,28.9,0.686,0.5,0,2.5,6,7,37.9,23.3,0,3.4,17.6,18.6,16.4,,0.1,0.1,0.1,0.26,,1.6,10.4,12
12,Elijah Taylor,3,0,11,27.2,1,1,0,0,4,11.5,10.3,10.9,0,0,9.6,33.3,29.9,,0,0,0,0.14,,-15.4,3.2,-12.2
