Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Trey Townsend,34,34,1226,20.1,0.532,0.467,0.059,0.45,587,6.7,18.3,12.6,17.4,2.2,1,14.2,26,,2.5,1.6,4.1,0.133,,1.7,0.1,1.8
2,Jack Gohlke,34,15,1055,15,0.574,0.554,0.976,0.17,354,1.3,13.6,7.6,6.6,1.3,0.3,5,18.4,,2.3,0.9,3.3,0.125,,2.8,-0.6,2.2
3,Chris Conway,33,33,869,17.1,0.579,0.548,0.048,0.308,312,5.6,12.5,9.1,9.3,1.1,2.9,8.9,18.4,,2,0.8,2.8,0.13,,-0.1,0.2,0.1
4,Blake Lampman,26,24,907,15.5,0.566,0.534,0.798,0.156,330,2.5,8.2,5.4,16,1.9,2.3,12.7,19.4,,1.8,0.8,2.6,0.115,,2.5,0.3,2.8
5,DQ Cole,34,19,754,17.1,0.581,0.575,0.521,0.192,293,5.1,15.6,10.5,18.1,2.2,1.2,16.6,20.6,,1.4,0.9,2.3,0.121,,1.3,0.7,2
6,Isaiah Jones,31,27,522.622,16.7,0.631,0.592,0.165,0.534,195,11,14.9,13,14.1,2.6,1.1,20.8,13.3,,1.4,0.8,2.2,0.139,,-0.2,1.4,1.2
7,Tuburu Naivalurua,33,1,429,16.8,0.523,0.516,0.011,0.435,131,15.1,15.2,15.1,3.8,2.1,6.1,10.5,14.7,,0.8,0.6,1.4,0.128,,-1.8,0.5,-1.3
8,Rocket Watts,31,13,531,14.2,0.507,0.452,0.321,0.311,234,2.4,9,5.8,17.3,2.3,0.2,15.5,27.2,,0.5,0.5,1,0.072,,-2,-0.9,-2.8
9,Tone Hunter,28,0,281,9.6,0.507,0.438,0.3,0.75,77,2.5,12.2,7.4,27,3.8,0.4,34.8,15.1,,0,0.4,0.4,0.058,,-5.6,2.2,-3.4
10,Osei Price,29,4,147,8.3,0.594,0.6,0.633,0.2,37,4.8,10.9,7.9,7.2,0.8,0.8,21.5,14.5,,0.1,0.1,0.2,0.059,,-4.3,-1.2,-5.5
11,Cooper Craggs,3,0,9,12,0.5,0.5,0.5,0,3,13.1,25.4,19.3,20.1,0,0,33.3,16.9,,0,0,0,0.042,,-0.8,-2.7,-3.5
12,Aundre Polk,10,0,39,-1.6,0.377,0.286,0,0.286,7,9,11.7,10.4,0,0,5.8,33.5,15.6,,-0.1,0,0,-0.044,,-13.7,-1.4,-15.1
13,Michael Rogers,8,0,26,7.9,0.556,0.571,0,1.143,10,0,13.2,6.7,7.6,0,0,27,28.9,,0,0,0,-0.027,,-7.8,-4.3,-12.1
14,Evan Solomon,3,0,4,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.003,,-5.3,-2.7,-8
