Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jason Preston,18,18,611,25.7,0.599,0.598,0.33,0.178,328,3.5,20,11.8,39,2.5,0.9,17.5,24.2,,2.2,0.9,3.1,0.201,,6,1.6,7.6
2,Dwight Wilson,22,21,603,25.9,0.668,0.665,0.009,0.298,289,11.9,20.2,16.1,5.2,1.1,1.3,12.8,22.9,,2.3,0.7,3,0.197,,4.2,-1.4,2.8
3,Ben Vander Plas,23,23,768,17.9,0.565,0.538,0.557,0.215,299,2.6,17.1,9.9,18.6,2.5,2.1,15.8,19.8,,1.6,1.1,2.7,0.141,,2.7,1.3,4.1
4,Mark Sears,22,5,431,23.8,0.599,0.524,0.299,0.535,218,4.9,11.1,8,30,3,0.3,15.4,21.4,,1.7,0.5,2.3,0.209,,4,1.1,5.1
5,Ben Roderick,21,20,544,17.5,0.618,0.614,0.624,0.142,212,2.8,10.5,6.7,6.5,1.3,0.8,9.5,20.9,,1.4,0.5,1.9,0.138,,3.2,-1.2,2.1
6,Lunden McDay,23,23,673,13.5,0.549,0.503,0.386,0.353,227,5.1,4.3,4.7,7.1,1.3,0.8,9.7,17.3,,1.4,0.4,1.8,0.109,,0.6,-1.2,-0.6
7,Miles Brown,19,0,358,12.2,0.541,0.527,0.608,0.392,92,0.7,10.7,5.7,11,2.5,1.6,13.8,13.9,,0.4,0.4,0.9,0.095,,-0.4,0.8,0.5
8,Mason McMurray,19,0,87,11.5,0.553,0.542,0.583,0.75,24,9.5,17.4,13.4,11.7,0.6,0,15.6,10.9,,0.2,0.1,0.3,0.12,,-0.1,-0.1,-0.2
9,Michael Brown,8,1,85,9.8,0.513,0.35,0.4,2,22,2.8,1.4,2.1,8.3,2,2.6,13.3,13,,0.1,0.1,0.2,0.09,,-2.2,0.6,-1.6
10,Jalen White,11,0,65,18.2,0.568,0.56,0.52,0.12,27,7.2,12.5,9.9,8,0.9,1.7,7,21.4,,0.2,0.1,0.2,0.146,,3.3,-1.1,2.2
11,Sam Towns,15,2,120,5.3,0.322,0.308,0.615,0.538,24,3.9,15.5,9.7,7.3,1.4,2.8,5.8,14.1,,-0.1,0.1,0.1,0.03,,-5.3,-0.3,-5.6
12,Nolan Foster,6,0,27,-3.8,0.404,0.5,0,0.5,3,8.7,4.3,6.5,0,0,0,44.7,8.1,,0,0,0,-0.031,,-9.3,-1.6,-11
13,Colin Granger,20,2,122,1.9,0.406,0.37,0.037,0.296,31,11.6,12.4,12,3.7,0.9,0,24.5,16.4,,-0.1,0.1,0,0.01,,-9.8,-2.1,-11.8
14,Rifen Miguel,13,0,95,4.6,0.451,0.386,0.343,0.429,38,11.2,14.7,12.9,0,1.8,2.4,23.6,28.4,,-0.1,0.1,0,0,,-14,-2.3,-16.3
15,John Tenerowicz,5,0,11,2.3,0.339,0,0,1,3,10.7,0,5.3,12.2,0,0,25.3,17.6,,0,0,0,-0.013,,-4.8,-3.3,-8.1
