Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,D'Angelo Russell,35,34,1188,26.6,0.573,0.541,0.449,0.303,671,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,,4.4,2.4,6.8,0.229,,8.7,3,11.7
2,Sam Thompson,35,34,1139,15.9,0.533,0.503,0.29,0.331,343,3.4,10.2,6.9,9.8,2.4,3.3,11.6,17.3,,1.9,2,4,0.139,,2.8,4.3,7.1
3,Shannon Scott,35,34,1068,17,0.485,0.453,0.29,0.222,393,4.1,9.5,6.9,33.6,3.3,0.4,21.2,19,,1.8,1.9,3.7,0.139,,3,2.7,5.7
4,Jae'Sean Tate,35,16,771,20.2,0.587,0.596,0.089,0.477,282,10.5,15.9,13.3,3,2.4,3.1,13.8,20.5,,1.7,1.6,3.3,0.17,,2.4,2.5,4.9
5,Marc Loving,32,18,759,17.3,0.609,0.572,0.488,0.392,272,6.4,11.2,8.9,4.7,1.3,1.5,13,19.5,,2,1.2,3.1,0.165,,4.7,0.7,5.4
6,Amir Williams,33,28,644,21.4,0.662,0.661,0,0.8,201,10.1,17.6,14,3,2.1,9.3,17.6,15.5,,1.5,1.5,3,0.189,,2.5,6.9,9.4
7,Kam Williams,35,0,500,16.8,0.57,0.542,0.523,0.148,160,1.5,6.3,4,6.6,2.1,0.5,3.5,17.8,,1.3,0.7,2,0.16,,4.5,0,4.5
8,Keita Bates-Diop,33,0,327,21.6,0.588,0.57,0.419,0.301,115,4.9,18.9,12.2,9.5,2,6.7,10.9,18.9,,0.8,0.7,1.6,0.193,,3.5,4.9,8.4
9,Trey McDonald,35,0,411,13.8,0.541,0.541,0,0.446,106,12.2,13.9,13.1,3.3,1,5.1,15.9,13.5,,0.6,0.7,1.3,0.129,,0.7,3.5,4.2
10,Anthony Lee,21,6,230,13.8,0.61,0.62,0,0.38,65,8.5,15.6,12.2,2.4,0.3,4,18,16.2,,0.3,0.4,0.7,0.125,,-0.1,1.5,1.4
11,Jake Lohrbach,8,0,13,-11,0,0,0,0,0,0,0,0,0,4.7,0,66.7,12,,-0.1,0,0,-0.148,,-10.7,5.5,-5.2
